Winding,Cooling System,OPS,Oil,Profit
0.0,0.4,0.4,0.0,146.29894
0.0,0.0,0.0,0.0,145.55492
0.4,0.4,0.4,0.2,114.88791
0.0,0.0,0.2,0.8,141.05720
0.2,0.2,0.4,0.0,135.43307
0.4,0.4,0.4,0.8,111.83500
0.2,0.4,0.4,0.8,131.78046
0.0,0.2,0.0,0.8,144.62455
0.4,0.2,0.0,0.6,115.40991
0.0,0.6,0.2,0.8,125.51042
0.6,0.4,0.4,0.0,95.76417
0.0,0.6,0.0,0.4,133.38716
0.0,0.4,0.2,0.8,144.87066
0.6,0.0,0.4,0.4,95.85774
0.6,0.2,0.4,0.2,96.21834
0.6,0.2,0.4,0.0,96.70944
0.2,0.4,0.0,0.4,135.19607
0.6,0.2,0.2,0.8,95.63533
0.0,0.8,0.4,0.2,109.59075
0.6,0.4,0.2,0.8,92.58142
0.0,0.6,0.0,0.8,130.61195
0.2,0.0,0.4,0.6,134.57430
0.0,0.2,0.2,0.6,146.35369
0.6,0.6,0.2,0.6,80.26051
0.6,0.2,0.2,0.4,96.01611
0.4,0.2,0.6,0.2,76.47788
0.4,0.2,0.6,0.4,76.43541
0.0,0.8,0.4,0.0,93.76576
0.4,0.0,0.2,0.6,115.68593
0.0,0.2,0.4,0.2,147.22819
