Winding,Cooling System,OPS,Oil,Profit
0.2,0.6,0.2,0.8,239.71226
0.4,0.4,0.2,0.4,233.72127
0.0,0.4,0.0,1.0,228.01802
0.4,0.4,0.0,0.8,224.48189
0.4,0.4,0.2,0.8,231.53671
0.0,0.4,0.8,0.2,221.34418
0.0,0.6,0.2,1.0,217.10126
0.0,0.4,0.2,1.0,226.40957
0.2,0.8,0.2,1.0,180.68352
0.4,0.8,0.0,0.8,208.69858
0.6,0.2,0.0,0.8,191.45016
0.0,0.0,0.0,0.0,284.50412
0.6,0.4,0.2,0.8,192.04441
0.0,0.0,0.0,1.0,229.86018
0.4,0.0,0.2,0.6,232.08298
0.6,0.4,0.0,0.8,191.98205
0.2,0.0,0.0,1.0,202.88529
0.0,0.0,0.6,0.8,256.52337
0.6,0.6,0.2,0.6,185.65965
0.2,0.4,0.0,0.2,266.25702
0.4,0.4,0.2,1.0,164.78628
0.6,0.6,0.2,0.8,180.46024
0.0,0.8,0.2,1.0,204.85974
0.8,0.0,0.2,0.8,148.70015
0.8,0.0,0.0,0.8,151.59398
0.8,0.4,0.0,0.4,152.91086
0.8,0.4,0.2,0.6,155.31625
0.6,0.2,0.2,0.4,195.18136
0.0,0.8,0.8,0.0,191.31077
0.4,0.8,0.8,0.8,130.28171
