Winding,Cooling System,OPS,Oil,Profit
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.8,0.0
1.0,1.0,1.0,0.6,0.0
1.0,1.0,1.0,0.4,0.0
1.0,1.0,1.0,0.2,0.0
1.0,1.0,1.0,0.0,0.0
1.0,1.0,0.8,1.0,0.0
1.0,1.0,0.8,0.8,-2072.8
1.0,1.0,0.8,0.6,-1782.4
1.0,1.0,0.8,0.4,-2415.8
1.0,1.0,0.8,0.2,-3445.3
1.0,1.0,0.8,0.0,-910.3
1.0,1.0,0.6,1.0,0.0
1.0,1.0,0.6,0.8,-5638.0
1.0,1.0,0.6,0.6,-5938.4
1.0,1.0,0.6,0.4,-5595.3
1.0,1.0,0.6,0.2,-5595.3
1.0,1.0,0.6,0.0,-1543.9
1.0,1.0,0.4,1.0,0.0
1.0,1.0,0.4,0.8,-4344.0
1.0,1.0,0.4,0.6,-4301.7
1.0,1.0,0.4,0.4,-4301.7
1.0,1.0,0.4,0.2,-4301.3
1.0,1.0,0.4,0.0,-4618.2
1.0,1.0,0.2,1.0,0.0
1.0,1.0,0.2,0.8,-4344.0
1.0,1.0,0.2,0.6,-4301.7
1.0,1.0,0.2,0.4,-4301.7
1.0,1.0,0.2,0.2,-4301.7
1.0,1.0,0.2,0.0,-4618.6
1.0,1.0,0.0,1.0,0.0
1.0,1.0,0.0,0.8,-4344.0
1.0,1.0,0.0,0.6,-4301.7
1.0,1.0,0.0,0.4,-4301.7
1.0,1.0,0.0,0.2,-4301.7
1.0,1.0,0.0,0.0,-4618.6
1.0,0.8,1.0,1.0,0.0
1.0,0.8,1.0,0.8,0.0
1.0,0.8,1.0,0.6,0.0
1.0,0.8,1.0,0.4,0.0
1.0,0.8,1.0,0.2,0.0
1.0,0.8,1.0,0.0,0.0
1.0,0.8,0.8,1.0,-1571.6
1.0,0.8,0.8,0.8,-308.1
1.0,0.8,0.8,0.6,-324.4
1.0,0.8,0.8,0.4,-324.4
1.0,0.8,0.8,0.2,-708.9
1.0,0.8,0.8,0.0,-620.1
1.0,0.8,0.6,1.0,-1876.1
1.0,0.8,0.6,0.8,-2625.0
1.0,0.8,0.6,0.6,-2600.0
1.0,0.8,0.6,0.4,-2340.1
1.0,0.8,0.6,0.2,-2320.2
1.0,0.8,0.6,0.0,-16.2
