Winding,Cooling System,OPS,Oil,Profit
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.8,0.0
1.0,1.0,1.0,0.6,0.0
1.0,1.0,1.0,0.4,0.0
1.0,1.0,1.0,0.2,0.0
1.0,1.0,1.0,0.0,0.0
1.0,1.0,0.8,1.0,-1303.2
1.0,1.0,0.8,0.8,-1041.1
1.0,1.0,0.8,0.6,-1041.1
1.0,1.0,0.8,0.4,-1041.1
1.0,1.0,0.8,0.2,-1063.6
1.0,1.0,0.8,0.0,-1064.3
1.0,1.0,0.6,1.0,-1124.8
1.0,1.0,0.6,0.8,-951.6
1.0,1.0,0.6,0.6,-914.4
1.0,1.0,0.6,0.4,-914.4
1.0,1.0,0.6,0.2,-914.5
1.0,1.0,0.6,0.0,-957.0
1.0,1.0,0.4,1.0,-1056.4
1.0,1.0,0.4,0.8,-924.9
1.0,1.0,0.4,0.6,-874.5
1.0,1.0,0.4,0.4,-915.7
1.0,1.0,0.4,0.2,-914.8
1.0,1.0,0.4,0.0,-956.8
1.0,1.0,0.2,1.0,-1056.4
1.0,1.0,0.2,0.8,-906.5
1.0,1.0,0.2,0.6,-914.5
1.0,1.0,0.2,0.4,-882.1
1.0,1.0,0.2,0.2,-915.1
1.0,1.0,0.2,0.0,-914.4
1.0,1.0,0.0,1.0,-1016.4
1.0,1.0,0.0,0.8,-838.2
1.0,1.0,0.0,0.6,-838.6
1.0,1.0,0.0,0.4,-835.1
1.0,1.0,0.0,0.2,-921.1
1.0,1.0,0.0,0.0,-887.9
1.0,0.8,1.0,1.0,0.0
1.0,0.8,1.0,0.8,0.0
1.0,0.8,1.0,0.6,0.0
1.0,0.8,1.0,0.4,0.0
1.0,0.8,1.0,0.2,0.0
1.0,0.8,1.0,0.0,0.0
1.0,0.8,0.8,1.0,-328.1
1.0,0.8,0.8,0.8,-214.2
1.0,0.8,0.8,0.6,-239.3
1.0,0.8,0.8,0.4,-239.3
1.0,0.8,0.8,0.2,-195.5
1.0,0.8,0.8,0.0,-152.7
1.0,0.8,0.6,1.0,-207.2
1.0,0.8,0.6,0.8,-123.7
1.0,0.8,0.6,0.6,-86.9
1.0,0.8,0.6,0.4,-63.5
1.0,0.8,0.6,0.2,-43.5
1.0,0.8,0.6,0.0,-332.6
