Winding,Cooling System,OPS,Oil,Profit
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.8,0.0
1.0,1.0,1.0,0.6,0.0
1.0,1.0,1.0,0.4,0.0
1.0,1.0,1.0,0.2,0.0
1.0,1.0,1.0,0.0,0.0
1.0,1.0,0.8,1.0,-1072.7
1.0,1.0,0.8,0.8,-2263.4
1.0,1.0,0.8,0.6,-952.0
1.0,1.0,0.8,0.4,-1046.6
1.0,1.0,0.8,0.2,-946.7
1.0,1.0,0.8,0.0,-952.2
1.0,1.0,0.6,1.0,-1106.6
1.0,1.0,0.6,0.8,-786.0
1.0,1.0,0.6,0.6,-783.4
1.0,1.0,0.6,0.4,-1219.5
1.0,1.0,0.6,0.2,-822.9
1.0,1.0,0.6,0.0,-834.6
1.0,1.0,0.4,1.0,-929.7
1.0,1.0,0.4,0.8,-745.1
1.0,1.0,0.4,0.6,-740.4
1.0,1.0,0.4,0.4,-1176.5
1.0,1.0,0.4,0.2,-832.5
1.0,1.0,0.4,0.0,-884.0
1.0,1.0,0.2,1.0,-952.7
1.0,1.0,0.2,0.8,-995.3
1.0,1.0,0.2,0.6,-1016.3
1.0,1.0,0.2,0.4,-1185.3
1.0,1.0,0.2,0.2,-1229.2
1.0,1.0,0.2,0.0,-1415.8
1.0,1.0,0.0,1.0,-832.7
1.0,1.0,0.0,0.8,-713.2
1.0,1.0,0.0,0.6,-715.5
1.0,1.0,0.0,0.4,-763.8
1.0,1.0,0.0,0.2,-854.1
1.0,1.0,0.0,0.0,-731.9
1.0,0.8,1.0,1.0,-1954.2
1.0,0.8,1.0,0.8,-1954.2
1.0,0.8,1.0,0.6,-1954.2
1.0,0.8,1.0,0.4,-1954.2
1.0,0.8,1.0,0.2,-1954.2
1.0,0.8,1.0,0.0,-1954.2
1.0,0.8,0.8,1.0,-156.2
1.0,0.8,0.8,0.8,-209.2
1.0,0.8,0.8,0.6,-295.8
1.0,0.8,0.8,0.4,-175.4
1.0,0.8,0.8,0.2,-73.5
1.0,0.8,0.8,0.0,-235.2
1.0,0.8,0.6,1.0,-229.0
1.0,0.8,0.6,0.8,-256.1
1.0,0.8,0.6,0.6,-502.7
1.0,0.8,0.6,0.4,35.9
1.0,0.8,0.6,0.2,32.2
1.0,0.8,0.6,0.0,-427.3
