Winding,Cooling System,OPS,Oil,Profit
0.0,0.0,0.2,0.0,147.68499
0.0,0.4,0.0,0.0,147.68499
0.0,0.2,0.2,0.6,147.50447
0.0,0.0,0.2,0.6,147.50447
0.0,0.0,0.0,0.6,147.50447
0.0,0.2,0.0,0.6,147.50447
0.0,0.2,0.4,0.0,147.68499
0.0,0.4,0.4,0.2,147.68499
0.0,0.0,0.0,0.0,147.21839
0.0,0.2,0.4,0.2,147.68499
0.0,0.0,0.0,0.2,147.68499
0.0,0.2,0.4,0.8,145.24558
0.0,0.0,0.4,0.8,145.24558
0.0,0.0,0.2,0.8,145.24558
0.0,0.0,0.0,0.8,145.23884
0.0,0.6,0.2,0.6,130.51312
0.0,0.6,0.4,0.6,130.62208
0.0,0.4,0.4,0.6,147.50447
0.0,0.4,0.2,0.6,147.50447
0.0,0.6,0.0,0.2,130.39337
0.0,0.2,0.2,0.8,145.24558
0.0,0.2,0.0,0.8,144.96449
0.0,0.4,0.2,0.4,147.68499
0.0,0.0,0.0,0.4,147.68499
0.0,0.0,0.2,0.2,147.68499
0.0,0.4,0.4,0.4,147.68499
0.0,0.2,0.2,0.4,147.68500
0.0,0.2,0.4,0.4,147.68499
0.0,0.0,0.4,0.4,147.68499
0.0,0.2,0.0,0.2,147.68499
