Winding,Cooling System,OPS,Oil,Profit
0.0,0.2,0.0,1.0,240.64787
0.2,0.0,0.0,0.2,349.30983
0.4,0.0,0.0,0.2,72.73735
0.6,0.0,0.0,0.4,220.24113
0.8,0.0,0.0,0.4,248.79681
0.2,0.0,0.0,0.4,89.84697
0.4,0.0,0.0,0.4,310.46545
0.8,0.0,0.0,0.2,244.84446
0.6,0.0,0.0,0.2,185.95624
0.0,0.0,0.0,0.0,384.97871
0.0,0.0,0.6,0.0,184.70615
0.0,0.0,0.4,0.0,295.64559
0.0,0.0,0.2,1.0,143.21029
0.0,0.0,0.2,0.2,-308.31603
0.0,0.0,0.2,0.0,194.85203
0.0,0.6,0.0,0.6,331.46090
0.0,0.6,0.0,0.8,303.63120
0.0,0.0,0.0,0.2,387.98662
0.0,0.0,0.0,0.8,385.27506
0.0,0.8,0.0,0.6,259.79933
0.0,0.8,0.0,0.8,237.21301
0.0,0.0,0.0,0.4,222.78726
0.0,0.0,0.0,1.0,208.51951
0.0,0.0,0.0,0.6,361.27118
0.0,0.0,0.4,0.8,233.06507
0.0,0.0,0.6,0.2,-211.11306
0.0,0.0,0.6,1.0,45.98934
0.0,0.0,0.2,0.4,296.72820
0.0,0.0,0.2,0.8,195.70049
0.8,0.0,0.8,1.0,-184.26150
