Nodes Current_Node  Objective_Bounds Work  Incumbent BestBd   Gap  Depth Time         
     0     0 5059.94432    0 2165          - 5059.94432      -     -    5s
     0     0 5059.94236    0 2165          - 5059.94236      -     -    6s
     0     0 5059.93853    0 2164          - 5059.93853      -     -    7s
     0     0 5059.93672    0 2167          - 5059.93672      -     -    8s
     0     0 5059.93375    0 2165          - 5059.93375      -     -    9s
     0     0 5059.93276    0 2165          - 5059.93276      -     -    9s
     0     0 5059.93268    0 2165          - 5059.93268      -     -   10s
     0     0 5059.93154    0 2171          - 5059.93154      -     -   11s
     0     0 5059.93154    0 2169          - 5059.93154      -     -   11s
     0     2 5058.17560    0 2167          - 5058.17560      -     -   15s
    74    81 5057.80877   13 2162          - 5057.80877      -   529   20s
   111   118 5008.05522   20 2207          - 5024.00000      -  1078   25s
   160   199 4831.24156   29 2185          - 5024.00000      -  1291   30s
   408   437 4287.97030   45 2150          - 5024.00000      -   634   35s
   530   558 4038.88242   54 2137          - 5024.00000      -   641   40s
   629   668 3969.13074   71 2176          - 5024.00000      -   719   45s
   832   929 3838.66752   95 2153          - 5024.00000      -   629   50s
  1112  1214 3641.46154  127 2151          - 5024.00000      -   508   56s
  1268  1311 3560.80567  149 2061          - 5024.00000      -   476   63s
  1310  1329 3432.40814  160 2046          - 5024.00000      -   478   66s
  1339  1378 2811.66792  164 1351          - 5024.00000      -   517   75s
  1469  1554 3248.85876  216 1667          - 5024.00000      -   492   80s
  1597  1639 3209.55541  237 1593          - 5024.00000      -   474   87s
  1638  1675 3185.59738  238 1594          - 5024.00000      -   480   91s
  1709  1750 2597.03759  240 1415          - 5024.00000      -   491   97s
  1749  1775 3135.88218  240 1594          - 5024.00000      -   491  102s
  1774  1824 3108.11387  247 1588          - 5024.00000      -   493  106s
  1823  1914 3082.25560  275 1595          - 5024.00000      -   492  110s
  1950  1974 2826.93231  287 1538          - 5024.00000      -   481  117s
  1973  2005 2782.18384  291 1495          - 5024.00000      -   487  121s
  2126  2174 2718.86754  293 1478          - 5024.00000      -   471  127s
  2173  2305 2688.81449  294 1476          - 5024.00000      -   469  130s
  2497  2579 2655.04505  304 1470          - 5024.00000      -   422  138s
  2578  2756 2575.31896  305 1365          - 5024.00000      -   418  142s
  2755  2814 2620.26107  306 1445          - 5024.00000      -   397  146s
  2813  2873 2549.68003  311 1428          - 5024.00000      -   401  150s
  2872  3008 2517.27191  313 1440          - 5024.00000      -   403  155s
  3007  3231 2516.18063  333 1420          - 5024.00000      -   396  160s
  3230  3350 2514.59422  367 1386          - 5024.00000      -   379  165s
  3349  3512 2509.99972  433 1319          - 5024.00000      -   382  170s
  3511  3687 2507.94328  509 1240          - 5024.00000      -   380  175s
  3686  3847 2503.39075  608 1139          - 5024.00000      -   374  180s
  3846  4015 2500.87540  638 1110          - 5024.00000      -   369  186s
  4014  4283 2361.83662  641 1080          - 5024.00000      -   366  192s
  4282  4542 2458.92019  658 1083          - 5024.00000      -   354  198s
  4541  4746 2465.39848  672 1079          - 5024.00000      -   343  204s
  4747  5051 2443.91463  676 1077          - 5024.00000      -   337  211s
  5052  5434 2422.99392  677 1075          - 5024.00000      -   325  218s
  5437  5820 2401.49694  678 1075          - 5024.00000      -   310  225s
  5829  6241 2401.46601  680 1073          - 5024.00000      -   295  234s
  6254  6243 2227.19446 1015  469          - 5024.00000      -   285  236s
  6255  6243 3468.13900  232  462          - 5024.00000      -   285  240s
  6258  6245 2763.69916  444  467          - 5024.00000      -   284  283s
  6260  6247 2595.16189  445  467          - 5024.00000      -   284  291s
  6261  6250 5024.00000   13 2163          - 5024.00000      -   7.9  347s
  6273  6262 5024.00000   16 2159          - 5024.00000      -  10.9  350s
  6298  6280 5024.00000   18 2158          - 5024.00000      -  15.0  355s
  6328  6305 5024.00000   22 2154          - 5024.00000      -  21.8  360s
  6361  6330 5024.00000   26 2147          - 5024.00000      -  25.1  368s
  6376  6345 5024.00000   28 2145          - 5024.00000      -  26.8  371s
  6433  6381 5024.00000   34 2175          - 5024.00000      -  30.3  375s
  6488  6413 5024.00000   39 2201          - 5024.00000      -  35.2  380s
  6533  6459 5024.00000   42 2195          - 5024.00000      -  40.9  386s
  6593  6503 4942.30155   47 2152          - 5024.00000      -  49.0  390s
  6705  6576 4857.63969   51 2106          - 5024.00000      -  55.3  396s
  6779  6640 4856.26037   58 2122          - 5024.00000      -  60.6  400s
  6874  6713 4852.45754   63 2127          - 5024.00000      -  66.0  407s
  6932  6733 4411.07752   66 2013          - 5024.00000      -  70.7  413s
  6971  6784 4724.53824   66 2057          - 5024.00000      -  74.7  416s
  7115  6885 4671.50804   70 2016          - 5024.00000      -  82.5  421s
  7279  6953 4540.05851   79 1945          - 5024.00000      -  89.4  427s
  7366  7069 4494.80493   91 1935          - 5024.00000      -  94.6  432s
  7456  7104 4475.12950  110 1949          - 5024.00000      -  96.8  435s
  7609  7243 4453.13214  131 1948          - 5024.00000      -   104  442s
  7711  7289 4405.64114  151 2050          - 5024.00000      -   108  445s
  7863  7389 4365.09165  156 2043          - 5024.00000      -   116  453s
  7942  7425 4351.02260  162 2036          - 5024.00000      -   120  476s
  8006  7479 4300.96628  167 2030          - 5024.00000      -   127  500s
  8242  7637 4238.04392  218 1992          - 5024.00000      -   137  508s
  8372  7663 4234.01162  230 1965          - 5024.00000      -   142  512s
  8441  7709 4098.01833  239 1893          - 5024.00000      -   148  516s
  8536  7787 3832.71643  249 1895          - 5024.00000      -   153  521s
  8674  7897 3835.80047  276 1878          - 5024.00000      -   157  526s
  8834  7984 3727.94149  298 1894          - 5024.00000      -   163  531s
  8976  8132 3726.66525  308 1885          - 5024.00000      -   168  536s
  9176  8233 3724.84673  323 1871          - 5024.00000      -   171  541s
  9345  8307 3723.73290  333 1861          - 5024.00000      -   176  546s
  9480  8424 3722.73196  341 1855          - 5024.00000      -   182  551s
  9652  8529 infeasible  362               - 5024.00000      -   188  556s
  9830  8625 3428.13546  385 1756          - 5024.00000      -   195  562s
  9987  8703 3634.31080  391 1809          - 5024.00000      -   202  573s
 10122  8880 3633.82879  401 1800          - 5024.00000      -   209  580s
 10370  8869 2837.64946  413 1370          - 5024.00000      -   216  603s
 10443  8850 2763.59493  414 1464          - 5024.00000      -   220  630s
 10457  8871 1975.00949  414 1313          - 5024.00000      -   231  645s
 10490  8885 2691.46513  415 1470          - 5024.00000      -   237  655s
 10517  8915 2673.25126  416 1469          - 5024.00000      -   246  663s
 10560  9062 2628.88652  418 1468          - 5024.00000      -   253  674s
 10764  9056 2603.08815  421 1469          - 5024.00000      -   258  684s
 10826  9157 2602.32154  422 1468          - 5024.00000      -   263  692s
 10949  9163 2523.14694  423 1450          - 5024.00000      -   269  705s
 10996  9161 2515.80140  425 1427          - 5024.00000      -   273  716s
 11010  9167 2515.26784  426 1426          - 5024.00000      -   277  726s
 11023  9189 2514.05603  427 1426          - 5024.00000      -   281  736s
 11049  9228 2512.93079  428 1425          - 5024.00000      -   285  747s
 11097  9333 2418.37718  432 1372          - 5024.00000      -   291  757s
 11240  9305 2347.15580  435 1350          - 5024.00000      -   294  767s
 11259  9356 2347.15580  436 1348          - 5024.00000      -   300  776s
 11317  9395 2347.05317  438 1346          - 5024.00000      -   308  789s
 11375  9717 2346.20314  451 1332          - 5024.00000      -   313  800s
 11716 10175 2345.86754  455 1329          - 5024.00000      -   314  812s
 12290 10028 2345.12334  464 1320          - 5024.00000      -   308  822s
 12334 10310 2298.20599  466 1367          - 5024.00000      -   311  832s
 12631 10439 2160.12328  475 1330          - 5024.00000      -   313  845s
 12861 11034 2159.50275  476 1329          - 5024.00000      -   311  857s
 13537 11254 2157.80394  490 1317          - 5024.00000      -   304  869s
 13988 11161 1664.48871  491 1236          - 5024.00000      -   299  883s
 14047 11539 2021.68610  493 1283          - 5024.00000      -   302  896s
 14445 11688 2020.30020  496 1281          - 5024.00000      -   299  908s
 14727 11767 1979.21833  501 1248          - 5024.00000      -   298  920s
 14902 12550 1978.95789  507 1242          - 5024.00000      -   297  934s
 15745 12482 1977.93187  528 1238          - 5024.00000      -   290  946s
 15960 13265 1920.93440  532 1225          - 5024.00000      -   290  965s
 16819 13240 1915.50422  537 1221          - 5024.00000      -   286  981s
 17080 13998 1436.47546  540 1133          - 5024.00000      -   285  999s
 17925 13745 1830.05960  574 1142          - 5024.00000      -   279 1022s
 17954 13870 1789.26643  575 1142          - 5024.00000      -   281 1040s
 18088 14015 1338.57849  579  985          - 5024.00000      -   286 1059s
 18326 14194 1048.40792  638  889          - 5024.00000      -   294 1075s
 18630 14485 1040.71399  738  787          - 5024.00000      -   295 1094s
 19123 14605  993.13704  863  668          - 5024.00000      -   298 1112s
 19471 14924  981.31847  988  543          - 5024.00000      -   299 1140s
 19908 15168  618.28436 1113  413          - 5024.00000      -   302 1164s
 20298 15631  614.96653 1238  287          - 5024.00000      -   304 1190s
 20891 15965  512.98685 1363  159          - 5024.00000      -   308 1220s
 21478 16005  276.84329 1488   31          - 5024.00000      -   313 1244s
*21610 15648            1554     275.3869270 5024.00000  1724%   311 1244s
*21611 15351            1555     275.6263585 5024.00000  1723%   311 1244s
 21890 15223 4737.27800   54 2071  275.62636 5024.00000  1723%   317 1326s
H21893 14934                     276.0534613 5024.00000  1720%   317 1326s
 21896 15123 4699.09516   55 2069  276.05346 5024.00000  1720%   317 1351s
 22086 15590 4348.01366   82 1986  276.05346 5024.00000  1720%   320 1374s
H22100 15499                     276.8620715 5024.00000  1715%   320 1374s
 22795 16183 3704.73402  128 1921  276.86207 5024.00000  1715%   316 1419s
 23517 16828 3683.74993  129 1930  276.86207 5024.00000  1715%   311 1445s
H24101 16815                     290.8801260 5024.00000  1627%   307 1445s
H24244 17349                     290.8801261 5024.00000  1627%   308 1507s
H24745 17349                     291.0854179 5024.00000  1626%   302 1507s
H24758 17349                     291.2893497 5024.00000  1625%   302 1507s
H25202 16952                     321.3840895 5024.00000  1463%   297 1507s
 25246 17076 2123.70261  209 1541  321.38409 5024.00000  1463%   297 1590s
H25369 17076                     321.5482554 5024.00000  1462%   298 1590s
 25539 17480 4240.73710   93 2052  321.54826 5024.00000  1462%   300 1619s
 26252 17994 4541.87990   86 2043  321.54826 5024.00000  1462%   300 1649s
H27289 17956                     330.0717288 5024.00000  1422%   296 1870s
H27290 17709                     393.5211856 5024.00000  1177%   296 1870s
H27543 17709                     394.1324414 5024.00000  1175%   293 1870s
 27544 18227 3807.38275  183 1975  394.13244 5024.00000  1175%   293 1899s
 28088 18708 2933.42180  275 1743  394.13244 5024.00000  1175%   297 1926s
 28621 19362 2577.45005  325 1690  394.13244 5024.00000  1175%   303 1961s
 29373 20189  645.20708  434 1386  394.13244 5024.00000  1175%   309 1994s
 30222 21350  565.57267  683 1138  394.13244 5024.00000  1175%   311 2022s
 31401 21794  558.38868  933  890  394.13244 5024.00000  1175%   305 2051s
 31847 22254  493.15424 1182  620  394.13244 5024.00000  1175%   303 2073s
 32324 23603  483.01639 1432  370  394.13244 5024.00000  1175%   301 2099s
 33673 24934  470.55653 1682  122  394.13244 5024.00000  1175%   292 2121s
