
chi [*,*] (tr)
:  Cooling_System OPS Oil Winding    :=
0         0         0   0     0
1         0         0   0     0
2         0         0   0     0
3         0         0   0     0
4         0         0   0     0
5         0         0   0     0
6         0         0   0     0
7         0         0   0     0
8         0         0   0     0
9         0         0   0     0
10        0         1   1     0
11        0         0   0     0
12        0         0   0     0
13        0         0   0     0
14        0         0   0     0
15        0         0   0     0
16        0         0   0     0
17        0         0   0     0
18        0         0   0     0
19        0         0   0     0
20        0         0   0     0
21        0         0   0     0
22        0         0   0     0
23        0         0   0     0
24        0         0   0     0
25        0         0   0     0
26        0         0   0     0
27        0         0   0     0
28        1         0   0     0
29        0         1   1     0
30        0         0   0     0
31        0         0   0     0
32        0         0   0     0
33        0         0   0     0
34        0         0   0     0
35        0         0   0     0
36        0         0   0     0
37        0         0   0     0
38        0         0   0     0
39        0         0   1     0
40        0         0   0     0
41        0         0   0     0
42        0         0   0     0
43        0         0   0     0
44        0         0   0     0
45        0         0   0     0
46        0         0   0     0
47        0         0   0     0
48        0         0   0     0
49        0         0   0     0
50        0         0   0     0
;

q [*] :=
   1 0.152895     301 0.120135     601 0.481981     901 0.141416
   2 0.152729     302 0.120005     602 0.481981     902 0.141416
   3 0.152564     303 0.119874     603 0.481981     903 0.141416
   4 0.152398     304 0.119744     604 0.481981     904 0.141416
   5 0.152233     305 0.119614     605 0.481981     905 0.141416
   6 0.152068     306 0.119485     606 0.481981     906 0.141416
   7 0.151903     307 0.119355     607 0.481981     907 0.141416
   8 0.151738     308 0.119225     608 0.481981     908 0.141416
   9 0.151573     309 0.119096     609 0.481981     909 0.141416
  10 0.151409     310 0.118967     610 0.481981     910 0.141416
  11 0.151244     311 0.118838     611 0.481981     911 0.141416
  12 0.15108      312 0.118709     612 0.481981     912 0.141416
  13 0.150916     313 0.11858      613 0.481981     913 0.133982
  14 0.150753     314 0.118451     614 0.481981     914 0.133982
  15 0.150589     315 0.118323     615 0.481981     915 0.133982
  16 0.150426     316 0.118195     616 0.481981     916 0.133982
  17 1.06446      317 0.118066     617 0.481981     917 0.133982
  18 1.06365      318 0.117938     618 0.481981     918 0.133982
  19 0.149564     319 0.11781      619 0.481981     919 0.133982
  20 0.149402     320 0.117682     620 0.481981     920 0.133982
  21 0.14924      321 0.117555     621 0.481981     921 0.133982
