param,profit
d_prime=0.9001,4.01736
d_prime=0.9011,4.13356
d_prime=0.9021,4.25326
d_prime=0.9031,4.37664
d_prime=0.9041,4.50367
d_prime=0.9051,4.63454
d_prime=0.9061,4.76941
d_prime=0.9071,4.90834
d_prime=0.9081,-28.59082
d_prime=0.9091,5.19921
d_prime=0.9101,5.35130
d_prime=0.9111,5.50813
d_prime=0.9121,5.66986
d_prime=0.9131,5.83665
d_prime=0.9141,6.00871
d_prime=0.9151,-169.68536
d_prime=0.9161,6.36917
d_prime=0.9171,6.55810
d_prime=0.9181,6.75295
d_prime=0.9191,6.95409
d_prime=0.9201,7.16181
d_prime=0.9211,7.37629
d_prime=0.9221,7.59769
d_prime=0.9231,7.82637
d_prime=0.9241,8.06273
d_prime=0.9251,8.30688
d_prime=0.9261,8.55920
d_prime=0.9271,8.82008
d_prime=0.9281,9.08971
d_prime=0.9291,9.36874
d_prime=0.9301,9.65725
d_prime=0.9311,9.95583
d_prime=0.9321,10.26490
d_prime=0.9331,10.58483
d_prime=0.9341,10.91626
d_prime=0.9351,11.25939
d_prime=0.9361,11.61510
d_prime=0.9371,11.98378
d_prime=0.9381,12.36605
d_prime=0.9391,12.76257
d_prime=0.9401,13.17398
d_prime=0.9411,13.60111
d_prime=0.9421,14.04454
d_prime=0.9431,14.50540
d_prime=0.9441,14.98405
d_prime=0.9451,15.48190
d_prime=0.9461,15.99970
d_prime=0.9471,16.53856
d_prime=0.9481,17.09967
d_prime=0.9490,17.68423
d_prime=0.9500,18.29368
d_prime=0.9510,18.92915
d_prime=0.9520,19.59189
d_prime=0.9530,20.28414
d_prime=0.9540,21.00749
d_prime=0.9550,21.76367
d_prime=0.9560,22.55492
d_prime=0.9570,-0.62841
d_prime=0.9580,24.19300
d_prime=0.9590,25.07262
d_prime=0.9600,25.98765
d_prime=0.9610,26.92729
d_prime=0.9620,27.91751
d_prime=0.9630,28.95410
d_prime=0.9640,30.03975
d_prime=0.9650,31.18808
d_prime=0.9660,32.40424
d_prime=0.9670,33.38938
d_prime=0.9680,34.05615
d_prime=0.9690,34.75065
d_prime=0.9700,35.46742
d_prime=0.9710,36.19865
d_prime=0.9720,36.94952
d_prime=0.9730,37.72078
d_prime=0.9740,38.49515
d_prime=0.9750,39.34687
d_prime=0.9760,40.27345
d_prime=0.9770,41.24437
d_prime=0.9780,44.20807
d_prime=0.9790,46.03885
d_prime=0.9800,13.30562
d_prime=0.9810,46.91934
d_prime=0.9820,47.39929
d_prime=0.9830,47.92679
d_prime=0.9840,58.59269
d_prime=0.9850,60.07634
d_prime=0.9860,63.34626
d_prime=0.9870,62.13484
d_prime=0.9880,63.23511
d_prime=0.9890,66.40211
d_prime=0.9900,69.08116
d_prime=0.9910,58.88890
d_prime=0.9920,56.80356
d_prime=0.9930,83.64497
d_prime=0.9940,86.05465
d_prime=0.9950,76.38860
d_prime=0.9960,82.63405
d_prime=0.9970,89.80887
d_prime=0.9980,103.78671
d_prime=0.9990,127.02088
load_effect=0.9000,127.39183
load_effect=0.9010,127.48303
load_effect=0.9020,127.34692
load_effect=0.9030,127.42428
load_effect=0.9040,127.31755
load_effect=0.9050,127.37721
load_effect=0.9060,127.52930
load_effect=0.9070,127.52550
load_effect=0.9080,127.35066
load_effect=0.9090,127.48159
load_effect=0.9100,127.41930
load_effect=0.9110,127.40015
load_effect=0.9120,129.70606
load_effect=0.9130,127.30636
load_effect=0.9140,127.37001
load_effect=0.9150,127.33199
load_effect=0.9160,127.59358
load_effect=0.9170,127.20839
load_effect=0.9180,127.44443
load_effect=0.9190,142.91978
load_effect=0.9200,131.13192
load_effect=0.9210,127.32026
load_effect=0.9220,127.31637
load_effect=0.9230,127.30361
load_effect=0.9240,127.30262
load_effect=0.9250,127.28695
load_effect=0.9260,127.21174
load_effect=0.9270,127.25756
load_effect=0.9280,94.48576
load_effect=0.9290,125.12254
load_effect=0.9300,127.14578
load_effect=0.9310,137.71513
load_effect=0.9320,127.34914
load_effect=0.9330,108.28495
load_effect=0.9340,127.36027
load_effect=0.9350,127.27404
load_effect=0.9360,127.40451
load_effect=0.9370,137.50908
load_effect=0.9380,137.76589
load_effect=0.9390,137.62245
load_effect=0.9400,133.46411
load_effect=0.9410,127.45463
load_effect=0.9420,127.52040
load_effect=0.9430,130.99048
load_effect=0.9440,127.20996
