param,profit
Price=1.5000,172.37939
Price=1.5050,223.14936
Price=1.5100,197.49739
Price=1.5150,222.02604
Price=1.5200,184.63911
Price=1.5250,225.07623
Price=1.5300,207.00910
Price=1.5350,195.44471
Price=1.5400,226.37431
Price=1.5450,208.37031
Price=1.5500,196.81464
Price=1.5550,230.38649
Price=1.5600,178.77655
Price=1.5650,230.93667
Price=1.5700,203.10304
Price=1.5750,186.71823
Price=1.5800,191.97400
Price=1.5850,194.89798
Price=1.5900,191.00637
Price=1.5950,234.88155
Price=1.6000,193.47056
Price=1.6050,219.68530
Price=1.6100,170.09670
Price=1.6150,203.67987
Price=1.6200,199.02426
Price=1.6250,217.76042
Price=1.6300,203.57299
Price=1.6350,242.36349
Price=1.6400,192.61671
Price=1.6450,232.39880
Price=1.6500,217.39852
Price=1.6550,207.22565
Price=1.6600,247.73808
Price=1.6650,192.41763
Price=1.6700,210.01777
Price=1.6750,177.26532
Price=1.6800,248.46532
Price=1.6850,207.79576
Price=1.6900,206.30489
Price=1.6950,196.78461
Price=1.7000,250.79871
Price=1.7050,225.71230
Price=1.7100,233.04311
Price=1.7150,208.32110
Price=1.7200,247.30068
Price=1.7250,225.12225
Price=1.7300,229.14183
Price=1.7350,258.37172
Price=1.7400,201.67960
Price=1.7450,208.53662
Price=1.7500,230.79253
Price=1.7550,258.92024
Price=1.7600,233.48147
Price=1.7650,224.03809
Price=1.7700,218.45825
Price=1.7750,231.86024
Price=1.7800,225.05332
Price=1.7850,224.39409
Price=1.7900,267.56649
Price=1.7950,231.85146
Price=1.8000,265.59067
Price=1.8050,231.14122
Price=1.8100,261.16235
Price=1.8150,209.50221
Price=1.8200,271.95783
Price=1.8250,270.70801
Price=1.8300,268.04899
Price=1.8350,263.52068
Price=1.8400,232.21875
Price=1.8450,214.20494
Price=1.8500,270.71011
Price=1.8550,276.60475
Price=1.8600,241.39401
Price=1.8650,220.70435
Price=1.8700,274.85452
Price=1.8750,227.61198
Price=1.8800,278.76217
Price=1.8850,237.13107
Price=1.8900,265.86909
Price=1.8950,280.11869
Price=1.9000,255.03593
Price=1.9050,257.97960
Price=1.9100,258.65949
Price=1.9150,284.12738
Price=1.9200,286.51779
Price=1.9250,229.20379
Price=1.9300,278.65547
Price=1.9350,288.04918
Price=1.9400,248.86301
Price=1.9450,248.47162
Price=1.9500,285.11839
Price=1.9550,291.06778
Price=1.9600,240.51011
Price=1.9650,294.16559
Price=1.9700,287.47064
Price=1.9750,230.64217
Price=1.9800,248.66349
Price=1.9850,250.89702
Price=1.9900,257.60395
Price=1.9950,271.63500
Price=2.0000,256.40684
Price=2.0050,262.12003
Price=2.0100,258.79094
Price=2.0150,244.40908
Price=2.0200,263.03083
Price=2.0250,303.27619
Price=2.0300,299.08976
Price=2.0350,261.36780
Price=2.0400,262.15973
Price=2.0450,263.88077
Price=2.0500,267.05782
Price=2.0550,269.70517
Price=2.0600,271.12707
Price=2.0650,261.16967
Price=2.0700,254.41426
Price=2.0750,241.03427
Price=2.0800,241.30811
Price=2.0850,257.56981
Price=2.0900,272.04823
Price=2.0950,275.89735
Price=2.1000,292.32664
Price=2.1050,278.78539
Price=2.1100,278.72224
Price=2.1150,278.40183
Price=2.1200,278.45452
Price=2.1250,278.51626
Price=2.1300,280.51400
Price=2.1350,279.05753
Price=2.1400,252.15809
Price=2.1450,302.98514
Price=2.1500,271.28922
Price=2.1550,233.12899
Price=2.1600,282.56293
Price=2.1650,282.47381
Price=2.1700,278.27845
Price=2.1750,266.19502
Price=2.1800,288.08689
Price=2.1850,291.49747
Price=2.1900,239.98694
Price=2.1950,287.08149
Price=2.2000,288.30645
Price=2.2050,315.63993
Price=2.2100,316.12148
Price=2.2150,292.32094
Price=2.2200,279.74123
Price=2.2250,294.84482
Price=2.2300,290.55552
Price=2.2350,234.77148
Price=2.2400,285.12310
Price=2.2450,296.39313
Price=2.2500,262.17710
