d_prime,load_effect,Profit
0.9997,1.4697,63.6959
1.0025,0.9091,167.6427
1.0082,1.1515,166.4402
1.0092,1.7727,166.7860
0.9942,1.2727,64.3828
0.9948,1.0000,78.1889
1.0015,0.8485,166.6638
1.0094,1.3788,165.8793
1.0029,0.8030,167.4173
1.0084,1.7576,167.5187
0.9999,1.5000,159.1157
1.0058,1.0455,167.1136
1.0078,1.1970,166.0346
0.9969,1.3182,82.1695
0.9920,1.0909,32.2231
0.9910,1.7576,69.5435
0.9908,0.9394,36.6393
1.0064,1.4394,165.8499
0.9914,1.2273,51.2176
1.0064,1.5152,166.8332
1.0043,0.8182,167.4095
0.9979,1.5303,54.2654
1.0084,0.9545,166.4562
0.9963,1.4091,85.9587
1.0088,1.5455,166.5403
0.9930,1.3485,82.7129
0.9944,1.1364,76.6243
1.0009,0.8636,-852.7416
1.0098,1.0303,167.4316
1.0090,1.2727,166.2233
0.9928,1.1818,78.6772
0.9926,0.8333,68.6413
1.0029,1.1061,167.1218
0.9971,0.9697,97.0486
0.9900,1.4242,68.2624
1.0098,1.3333,167.0620
1.0037,0.8788,166.3267
1.0076,1.2273,166.7990
0.9997,1.7576,2.4805
1.0021,1.0606,167.4047
1.0100,1.0000,166.9494
1.0070,1.3030,166.5031
0.9908,0.8182,40.3028
1.0092,0.9242,167.4915
1.0076,1.4545,166.8200
1.0031,1.7727,167.2170
0.9953,1.3636,79.2886
1.0068,1.1212,167.1256
1.0021,1.4848,167.4756
1.0098,0.8030,167.4742
0.9902,0.8788,69.3721
0.9953,1.2576,86.2284
0.9900,1.3788,68.2893
0.9904,1.1515,69.5429
1.0084,1.5303,165.8348
1.0088,1.0909,166.8425
0.9906,1.4545,21.1993
0.9912,1.1970,56.6643
0.9979,1.0152,82.3510
0.9924,0.9091,66.9394
1.0096,0.8333,166.2195
0.9912,1.0303,25.0619
0.9930,1.5152,76.5527
0.9934,0.8030,62.3762
0.9904,1.3939,36.9839
1.0070,1.1667,167.3065
0.9922,0.9848,67.6202
1.0096,1.2576,166.3213
1.0092,1.0758,167.2528
0.9900,0.9545,67.6795
1.0070,1.4242,164.3559
1.0080,0.8939,167.1246
1.0009,1.2879,64.1327
0.9944,1.3333,70.4054
0.9912,1.3030,69.0933
1.0039,1.5455,162.4080
1.0092,1.2424,166.8590
1.0068,1.3939,166.8713
1.0066,1.2121,166.0907
1.0070,0.9394,166.8100
0.9928,1.0455,78.9541
1.0092,1.5000,166.9850
0.9922,1.1061,38.4238
0.9900,1.2424,68.3791
1.0072,1.3485,166.6877
1.0064,0.9848,166.6066
0.9922,1.1667,24.8417
0.9938,1.0758,85.9412
0.9983,1.5455,52.5417
0.9932,1.4394,77.2492
1.0088,1.1818,167.2582
0.9914,1.1212,29.5467
1.0094,1.4091,166.5571
0.9934,1.4848,61.8786
1.0080,0.8485,167.3698
0.9971,0.8939,97.6975
1.0090,1.0152,166.7190
1.0076,1.1364,166.6509
0.9902,1.4697,68.5332
0.9932,0.8485,73.3740
0.9485,0.9646,17.3506
0.9848,0.9949,59.8900
0.9485,0.9636,17.3505
0.9374,0.9313,12.1016
0.9131,0.9424,5.8443
0.9556,0.9960,22.1646
0.9778,0.9667,42.0077
0.9162,0.9687,6.3840
0.9434,0.9121,14.6847
0.9192,0.9202,6.9771
0.9162,0.9040,6.3838
0.9061,0.9798,4.7653
0.9556,0.9040,22.1647
0.9051,0.9929,4.6287
0.9848,0.9566,59.9015
0.9657,0.9586,31.9380
0.9586,0.9808,24.6676
0.9596,0.9475,25.5816
0.9616,0.9131,27.4947
0.9384,0.9020,12.4927
0.9172,0.9848,6.5755
0.9636,0.9374,29.6000
0.9687,0.9263,34.5136
0.9515,0.9283,19.2355
0.9162,0.9970,6.3838
0.9071,0.9636,4.9053
0.9788,0.9778,45.9391
0.9465,0.9970,16.2190
0.9677,0.9899,33.8171
0.9788,0.9485,45.9445
0.9212,0.9323,7.4056
