d_prime,load_effect,Profit
0.9485,0.9646,17.3506
0.9848,0.9949,59.8900
0.9485,0.9636,17.3505
0.9374,0.9313,12.1016
0.9131,0.9424,5.8443
0.9556,0.9960,22.1646
0.9778,0.9667,42.0077
0.9162,0.9687,6.3840
0.9434,0.9121,14.6847
0.9192,0.9202,6.9771
0.9162,0.9040,6.3838
0.9061,0.9798,4.7653
0.9556,0.9040,22.1647
0.9051,0.9929,4.6287
0.9848,0.9566,59.9015
0.9657,0.9586,31.9380
0.9586,0.9808,24.6676
0.9596,0.9475,25.5816
0.9616,0.9131,27.4947
0.9384,0.9020,12.4927
0.9172,0.9848,6.5755
0.9636,0.9374,29.6000
0.9687,0.9263,34.5136
0.9515,0.9283,19.2355
0.9162,0.9970,6.3838
0.9071,0.9636,4.9053
0.9788,0.9778,45.9391
0.9465,0.9970,16.2190
0.9677,0.9899,33.8171
0.9788,0.9485,45.9445
0.9212,0.9323,7.4056
0.9061,0.9525,4.7650
0.9899,0.9495,68.8791
0.9758,0.9364,40.0224
0.9414,0.9707,13.7572
0.9293,0.9000,9.4325
0.9515,0.9424,19.2354
0.9657,0.9990,31.9382
0.9253,0.9828,8.3513
0.9253,0.9121,8.3513
0.9475,0.9788,16.7731
0.9242,0.9960,8.1031
0.9606,0.9717,26.5153
0.9263,0.9727,8.6080
0.9374,0.9212,12.1015
0.9172,0.9485,6.5753
0.9384,0.9970,12.4928
0.9909,0.9949,68.7475
0.9313,0.9364,10.0307
0.9828,0.9859,47.8276
0.9091,1.0000,5.1992
0.9838,0.9697,54.7235
0.9343,0.9677,11.0106
0.9677,0.9808,33.8176
0.9232,0.9444,7.8629
0.9566,0.9182,22.9697
0.9010,0.9869,4.1232
0.9040,0.9727,4.4966
0.9707,0.9444,35.9658
0.9283,0.9273,9.1481
0.9253,0.9505,8.3513
0.9949,0.9475,77.5773
0.9343,0.9101,11.0106
0.9202,0.9636,7.1878
0.9384,0.9384,12.4928
0.9485,0.9475,17.3507
0.9768,0.9303,41.0018
0.9949,0.9424,97.8688
0.9202,0.9000,7.1879
0.9646,0.9657,30.7352
0.9556,0.9333,22.1646
0.9485,0.9535,17.3505
0.9778,0.9889,42.0047
0.9788,0.9586,45.9426
0.9788,0.9960,45.8724
0.9434,0.9818,14.6843
0.9434,0.9515,14.6844
0.9525,0.9091,19.9197
0.9343,0.9737,11.0107
0.9202,0.9576,7.1878
0.9879,0.9606,52.5310
0.9727,0.9566,37.4934
0.9273,0.9212,8.8735
0.9121,0.9545,5.6755
0.9384,0.9515,12.4925
0.9636,0.9293,29.5996
0.9434,0.9030,14.6845
0.9081,0.9869,5.0500
0.9263,0.9657,8.6080
0.9535,0.9667,20.6345
0.9000,0.9747,4.0060
0.9657,0.9525,31.9382
0.9818,0.9444,47.3123
0.9717,0.9960,36.7146
0.9232,0.9889,7.8628
0.9424,0.9202,14.2119
0.9626,0.9879,28.5258
0.9495,0.9374,17.9524
0.9131,0.9808,5.8444
0.9556,0.9909,22.1643
d_prime,max_cooling_system_cooling,Profit
0.9485,10.1465,17.3526
0.9525,9.7727,19.9156
0.9111,10.3384,5.5130
0.9535,10.0253,20.6349
0.9172,10.4495,6.5774
0.9828,10.2576,47.9813
0.9273,9.7727,8.8720
0.9020,10.0556,4.2441
0.9788,9.9747,45.9239
