Winding,Cooling System,OPS,Oil,Profit
30,5,5,1,-159
30,5,5,4,-740
30,5,5,7,-766
30,5,5,10,-675
30,5,10,1,-107
30,5,10,4,-139
30,5,10,7,-53
30,5,10,10,-29
30,5,15,1,-107
30,5,15,4,-26
30,5,15,7,-4
30,5,15,10,-23
30,5,20,1,-88
30,5,20,4,-33
30,5,20,7,-4520
30,5,20,10,-4966
30,5,25,1,-8
30,5,25,4,52
30,5,25,7,65
30,5,25,10,-54
30,5,30,1,-8
30,5,30,4,52
30,5,30,7,65
30,5,30,10,-54
30,5,35,1,-8
30,5,35,4,52
30,5,35,7,65
30,5,35,10,-54
30,10,5,1,-183
30,10,5,4,-3837
30,10,5,7,-126
30,10,5,10,-88
30,10,10,1,-68
30,10,10,4,-58
30,10,10,7,-34
30,10,10,10,-44
30,10,15,1,-10
30,10,15,4,8
30,10,15,7,15
30,10,15,10,-1251
30,10,20,1,-18
30,10,20,4,-3168
30,10,20,7,-7492
30,10,20,10,-20
30,10,25,1,32
30,10,25,4,-4876
30,10,25,7,8
30,10,25,10,-3801
30,10,30,1,32
30,10,30,4,-4876
30,10,30,7,8
30,10,30,10,-3801
30,10,35,1,32
30,10,35,4,-4876
30,10,35,7,8
30,10,35,10,-3801
30,15,5,1,-142
30,15,5,4,-82
30,15,5,7,-74
30,15,5,10,-48
30,15,10,1,-26
30,15,10,4,-11
30,15,10,7,31
30,15,10,10,-2416
30,15,15,1,-34
30,15,15,4,-1858
30,15,15,7,10
30,15,15,10,-7476
30,15,20,1,-66
30,15,20,4,16
30,15,20,7,-5026
30,15,20,10,-7500
30,15,25,1,49
30,15,25,4,-5567
30,15,25,7,-6026
30,15,25,10,-5051
30,15,30,1,49
30,15,30,4,-5567
30,15,30,7,-6026
30,15,30,10,-5051
30,15,35,1,49
30,15,35,4,-5567
30,15,35,7,-6026
30,15,35,10,-5051
30,20,5,1,-121
30,20,5,4,-114
30,20,5,7,-115
30,20,5,10,-87
30,20,10,1,-31
30,20,10,4,7
30,20,10,7,23
30,20,10,10,-7423
30,20,15,1,-104
30,20,15,4,-2494
30,20,15,7,-2463
30,20,15,10,-4384
30,20,20,1,-4
30,20,20,4,-6
30,20,20,7,-4307
30,20,20,10,-5002
30,20,25,1,45
30,20,25,4,-5555
30,20,25,7,-3815
30,20,25,10,-7597
30,20,30,1,45
30,20,30,4,-5555
30,20,30,7,-3815
30,20,30,10,-7601
30,20,35,1,45
30,20,35,4,-5555
30,20,35,7,-3815
30,20,35,10,-7597
30,25,5,1,-2506
30,25,5,4,-2617
30,25,5,7,-50
30,25,5,10,-154
30,25,10,1,-29
30,25,10,4,-51
30,25,10,7,-1897
30,25,10,10,-1950
30,25,15,1,-31
30,25,15,4,49
30,25,15,7,-5673
30,25,15,10,-1139
30,25,20,1,12
30,25,20,4,73
30,25,20,7,-1194
30,25,20,10,-2626
30,25,25,1,65
30,25,25,4,-4885
30,25,25,7,-5002
30,25,25,10,-5515
30,25,30,1,65
30,25,30,4,-4885
30,25,30,7,-5002
30,25,30,10,-5515
30,25,35,1,65
30,25,35,4,-4885
30,25,35,7,-5002
30,25,35,10,-5515
35,5,5,1,-159
35,5,5,4,-740
35,5,5,7,-766
35,5,5,10,-675
35,5,10,1,-107
35,5,10,4,-139
35,5,10,7,-53
35,5,10,10,-29
35,5,15,1,-107
35,5,15,4,-26
35,5,15,7,-4
35,5,15,10,-23
35,5,20,1,-88
35,5,20,4,-33
35,5,20,7,-4520
35,5,20,10,-4966
35,5,25,1,-8
35,5,25,4,52
35,5,25,7,65
35,5,25,10,-54
35,5,30,1,-8
35,5,30,4,52
35,5,30,7,65
35,5,30,10,-54
35,5,35,1,-8
35,5,35,4,52
35,5,35,7,65
35,5,35,10,-54
35,10,5,1,-183
35,10,5,4,-3837
35,10,5,7,-126
35,10,5,10,-88
35,10,10,1,-68
35,10,10,4,-58
35,10,10,7,-34
35,10,10,10,-44
35,10,15,1,-10
35,10,15,4,8
35,10,15,7,15
35,10,15,10,-1251
35,10,20,1,-18
35,10,20,4,-3168
35,10,20,7,-7492
35,10,20,10,-20
35,10,25,1,32
35,10,25,4,-4876
35,10,25,7,8
35,10,25,10,-3801
35,10,30,1,32
35,10,30,4,-4876
35,10,30,7,8
35,10,30,10,-3801
35,10,35,1,32
35,10,35,4,-4876
35,10,35,7,8
35,10,35,10,-3801
35,15,5,1,-142
35,15,5,4,-82
35,15,5,7,-74
35,15,5,10,-48
35,15,10,1,-26
35,15,10,4,-11
35,15,10,7,31
35,15,10,10,-2416
35,15,15,1,-34
35,15,15,4,-1859
35,15,15,7,10
35,15,15,10,-7476
35,15,20,1,-66
35,15,20,4,16
