Winding,Cooling System,OPS,Oil,Profit
30,5,5,1,4
30,5,5,4,-915
30,5,5,7,-65
30,5,5,10,-31
30,5,10,1,1
30,5,10,4,73
30,5,10,7,82
30,5,10,10,36
30,5,15,1,89
30,5,15,4,117
30,5,15,7,-446
30,5,15,10,-30
30,5,20,1,27
30,5,20,4,-448
30,5,20,7,-1234
30,5,20,10,-1152
30,5,25,1,128
30,5,25,4,94
30,5,25,7,104
30,5,25,10,-539
30,5,30,1,128
30,5,30,4,94
30,5,30,7,104
30,5,30,10,-539
30,5,35,1,128
30,5,35,4,94
30,5,35,7,104
30,5,35,10,-539
30,10,5,1,-226
30,10,5,4,-3306
30,10,5,7,3
30,10,5,10,-2441
30,10,10,1,36
30,10,10,4,101
30,10,10,7,-74
30,10,10,10,-456
30,10,15,1,73
30,10,15,4,-774
30,10,15,7,-334
30,10,15,10,-1786
30,10,20,1,54
30,10,20,4,60
30,10,20,7,177
30,10,20,10,-2915
30,10,25,1,153
30,10,25,4,178
30,10,25,7,-1528
30,10,25,10,-1259
30,10,30,1,153
30,10,30,4,178
30,10,30,7,-1528
30,10,30,10,-1259
30,10,35,1,153
30,10,35,4,178
30,10,35,7,-1528
30,10,35,10,-1259
30,15,5,1,-25
30,15,5,4,35
30,15,5,7,-204
30,15,5,10,-624
30,15,10,1,-1
30,15,10,4,57
30,15,10,7,67
30,15,10,10,-1246
30,15,15,1,133
30,15,15,4,-650
30,15,15,7,-1347
30,15,15,10,-1658
30,15,20,1,94
30,15,20,4,143
30,15,20,7,-4800
30,15,20,10,-6058
30,15,25,1,106
30,15,25,4,181
30,15,25,7,-1211
30,15,25,10,-1979
30,15,30,1,106
30,15,30,4,181
30,15,30,7,-1211
30,15,30,10,-1979
30,15,35,1,106
30,15,35,4,181
30,15,35,7,-1211
30,15,35,10,-1979
30,20,5,1,-11
30,20,5,4,-61
30,20,5,7,0
30,20,5,10,-18
30,20,10,1,58
30,20,10,4,85
30,20,10,7,-1834
30,20,10,10,-158
30,20,15,1,86
30,20,15,4,-886
30,20,15,7,-1659
30,20,15,10,28
30,20,20,1,106
30,20,20,4,99
30,20,20,7,-4707
30,20,20,10,-1362
30,20,25,1,107
30,20,25,4,185
30,20,25,7,-641
30,20,25,10,135
30,20,30,1,107
30,20,30,4,185
30,20,30,7,-641
30,20,30,10,135
30,20,35,1,107
30,20,35,4,185
30,20,35,7,-641
30,20,35,10,135
30,25,5,1,9
30,25,5,4,-201
30,25,5,7,-25
30,25,5,10,-1165
30,25,10,1,14
30,25,10,4,123
30,25,10,7,-2604
30,25,10,10,-1548
30,25,15,1,59
30,25,15,4,-437
30,25,15,7,-523
30,25,15,10,75
30,25,20,1,100
30,25,20,4,-684
30,25,20,7,-1131
30,25,20,10,90
30,25,25,1,187
30,25,25,4,-924
30,25,25,7,-1226
30,25,25,10,-689
30,25,30,1,187
30,25,30,4,-924
30,25,30,7,-1226
30,25,30,10,-689
30,25,35,1,187
30,25,35,4,-924
30,25,35,7,-1226
30,25,35,10,-689
35,5,5,1,4
35,5,5,4,-917
35,5,5,7,-127
35,5,5,10,-31
35,5,10,1,-2
35,5,10,4,73
35,5,10,7,82
35,5,10,10,-1492
35,5,15,1,89
35,5,15,4,117
35,5,15,7,-446
35,5,15,10,-30
35,5,20,1,27
35,5,20,4,-448
35,5,20,7,-1234
35,5,20,10,-1152
35,5,25,1,128
35,5,25,4,94
35,5,25,7,104
35,5,25,10,-539
35,5,30,1,128
35,5,30,4,94
35,5,30,7,104
35,5,30,10,-539
35,5,35,1,128
35,5,35,4,94
35,5,35,7,104
35,5,35,10,-539
35,10,5,1,-226
35,10,5,4,-3306
35,10,5,7,3
35,10,5,10,-2441
35,10,10,1,36
35,10,10,4,101
35,10,10,7,-74
35,10,10,10,-456
35,10,15,1,73
35,10,15,4,-774
35,10,15,7,-334
35,10,15,10,-1786
35,10,20,1,54
35,10,20,4,60
35,10,20,7,177
35,10,20,10,-2915
35,10,25,1,153
35,10,25,4,178
35,10,25,7,-1528
35,10,25,10,-1259
35,10,30,1,153
35,10,30,4,178
35,10,30,7,-1528
35,10,30,10,-1259
35,10,35,1,153
35,10,35,4,178
35,10,35,7,-1528
35,10,35,10,-1259
35,15,5,1,-25
35,15,5,4,35
35,15,5,7,-161
35,15,5,10,-624
35,15,10,1,-1
35,15,10,4,57
35,15,10,7,67
35,15,10,10,-1246
35,15,15,1,133
35,15,15,4,-650
35,15,15,7,-1669
35,15,15,10,-1658
35,15,20,1,94
35,15,20,4,143
35,15,20,7,-4800
35,15,20,10,-6058
35,15,25,1,106
35,15,25,4,181
35,15,25,7,-1211
35,15,25,10,-1979
35,15,30,1,106
35,15,30,4,181
35,15,30,7,-1211
35,15,30,10,-1979
35,15,35,1,106
35,15,35,4,181
35,15,35,7,-1211
35,15,35,10,-1979
35,20,5,1,-11
35,20,5,4,-61
35,20,5,7,0
35,20,5,10,-18
35,20,10,1,58
35,20,10,4,85
35,20,10,7,-1834
35,20,10,10,-158
35,20,15,1,86
35,20,15,4,-886
35,20,15,7,-1279
35,20,15,10,28
35,20,20,1,106
35,20,20,4,99
35,20,20,7,-4707
35,20,20,10,-1362
35,20,25,1,107
35,20,25,4,185
35,20,25,7,-641
35,20,25,10,135
35,20,30,1,107
35,20,30,4,185
35,20,30,7,-641
35,20,30,10,135
35,20,35,1,107
35,20,35,4,185
35,20,35,7,-641
35,20,35,10,135
35,25,5,1,9
35,25,5,4,-201
35,25,5,7,-25
35,25,5,10,-1165
35,25,10,1,14
35,25,10,4,123
35,25,10,7,-2604
35,25,10,10,-1548
35,25,15,1,59
35,25,15,4,-437
35,25,15,7,-523
35,25,15,10,75
35,25,20,1,100
35,25,20,4,-684
35,25,20,7,-1131
35,25,20,10,90
35,25,25,1,187
35,25,25,4,-924
35,25,25,7,-1226
35,25,25,10,-689
35,25,30,1,187
35,25,30,4,-924
35,25,30,7,-1226
35,25,30,10,-689
35,25,35,1,187
35,25,35,4,-924
35,25,35,7,-1226
35,25,35,10,-689
40,5,5,1,4
40,5,5,4,-917
40,5,5,7,-127
40,5,5,10,-31
40,5,10,1,1
40,5,10,4,73
40,5,10,7,82
40,5,10,10,-1492
40,5,15,1,89
40,5,15,4,117
40,5,15,7,-446
40,5,15,10,-30
40,5,20,1,27
40,5,20,4,-448
40,5,20,7,-1234
40,5,20,10,-1152
40,5,25,1,128
40,5,25,4,94
40,5,25,7,104
40,5,25,10,-539
40,5,30,1,128
40,5,30,4,94
40,5,30,7,104
40,5,30,10,-539
40,5,35,1,128
40,5,35,4,94
40,5,35,7,104
40,5,35,10,-539
40,10,5,1,-226
40,10,5,4,-3306
40,10,5,7,3
40,10,5,10,-2441
40,10,10,1,36
40,10,10,4,101
40,10,10,7,-74
40,10,10,10,-456
40,10,15,1,73
40,10,15,4,-774
40,10,15,7,-334
40,10,15,10,-1786
40,10,20,1,54
40,10,20,4,60
40,10,20,7,177
40,10,20,10,-2915
40,10,25,1,153
40,10,25,4,178
40,10,25,7,-1528
40,10,25,10,-1259
40,10,30,1,153
40,10,30,4,178
40,10,30,7,-1528
40,10,30,10,-1259
40,10,35,1,153
40,10,35,4,178
40,10,35,7,-1528
40,10,35,10,-1259
40,15,5,1,-25
40,15,5,4,35
40,15,5,7,-161
40,15,5,10,-624
40,15,10,1,-1
40,15,10,4,57
40,15,10,7,67
40,15,10,10,-1246
40,15,15,1,133
40,15,15,4,-650
40,15,15,7,-1669
40,15,15,10,-1658
40,15,20,1,94
40,15,20,4,143
40,15,20,7,-4800
40,15,20,10,-6058
40,15,25,1,106
40,15,25,4,181
40,15,25,7,-1211
40,15,25,10,-1979
40,15,30,1,106
40,15,30,4,181
40,15,30,7,-1211
40,15,30,10,-1979
40,15,35,1,106
40,15,35,4,181
40,15,35,7,-1211
40,15,35,10,-1979
40,20,5,1,-11
40,20,5,4,-61
40,20,5,7,0
40,20,5,10,-18
40,20,10,1,58
40,20,10,4,85
40,20,10,7,-1834
40,20,10,10,-158
40,20,15,1,86
40,20,15,4,-886
40,20,15,7,-1279
40,20,15,10,28
40,20,20,1,106
40,20,20,4,99
40,20,20,7,-4707
40,20,20,10,-1362
40,20,25,1,107
40,20,25,4,185
40,20,25,7,-641
40,20,25,10,135
40,20,30,1,107
40,20,30,4,185
40,20,30,7,-641
40,20,30,10,135
40,20,35,1,107
40,20,35,4,185
40,20,35,7,-641
40,20,35,10,135
40,25,5,1,9
40,25,5,4,-201
40,25,5,7,-25
40,25,5,10,-1165
40,25,10,1,14
40,25,10,4,123
40,25,10,7,-2604
40,25,10,10,-1548
40,25,15,1,59
40,25,15,4,-437
40,25,15,7,-523
40,25,15,10,75
40,25,20,1,100
40,25,20,4,-684
40,25,20,7,-1131
40,25,20,10,90
40,25,25,1,187
40,25,25,4,-924
40,25,25,7,-1226
40,25,25,10,-689
40,25,30,1,187
40,25,30,4,-924
40,25,30,7,-1226
40,25,30,10,-689
40,25,35,1,187
40,25,35,4,-924
40,25,35,7,-1226
40,25,35,10,-689
45,5,5,1,4
45,5,5,4,-917
45,5,5,7,-127
45,5,5,10,-31
45,5,10,1,-2
45,5,10,4,73
45,5,10,7,82
45,5,10,10,-1492
45,5,15,1,89
45,5,15,4,117
45,5,15,7,-446
45,5,15,10,-30
45,5,20,1,27
45,5,20,4,-448
45,5,20,7,-1234
45,5,20,10,-1152
45,5,25,1,128
45,5,25,4,94
45,5,25,7,104
45,5,25,10,-539
45,5,30,1,128
45,5,30,4,94
45,5,30,7,104
45,5,30,10,-539
45,5,35,1,128
