1 2 3 4 5 6 7 8 9 10
  1 0.83        97 0.509366   193 0.207952   289 0.138837   385 0.111648
  2 0.75        98 0.509366   194 0.207952   290 0.138837   386 0.111648
  3 0.64        99 0.509366   195 0.207952   291 0.138837   387 0.111648
  4 0.7        100 0.509366   196 0.207952   292 0.138837   388 0.111648
  5 0.64       101 0.509366   197 0.207952   293 0.138837   389 0.111648
  6 0.7        102 0.509366   198 0.207952   294 0.138837   390 0.111648
  7 0.83       103 0.509366   199 0.207951   295 0.138837   391 0.111648
  8 0.967056   104 0.509366   200 0.207952   296 0.138837   392 0.111648
  9 0.966722   105 0.509366   201 0.207952   297 0.138837   393 0.111648
 10 0.966388   106 0.509366   202 0.207952   298 0.138837   394 0.111648
 11 0.966054   107 0.509366   203 0.207952   299 0.138837   395 0.111648
 12 0.965721   108 0.509366   204 0.207952   300 0.138837   396 0.111648
 13 0.965388   109 0.509366   205 0.207952   301 0.138837   397 0.111648
 14 0.965056   110 0.509366   206 0.207951   302 0.138837   398 0.111648
 15 0.964724   111 0.509366   207 0.207952   303 0.138837   399 0.111648
 16 0.964392   112 0.509366   208 0.207952   304 0.138837   400 0.111648
 17 0.964061   113 0.509366   209 0.207952   305 0.138837   401 0.111648
 18 0.96373    114 0.509366   210 0.207952   306 0.138837   402 0.111648
 19 0.9634     115 0.509366   211 0.207952   307 0.117167   403 0.111648
 20 0.96307    116 0.509366   212 0.207952   308 0.116689   404 0.111648
 21 0.96274    117 0.509366   213 0.207933   309 0.116613   405 0.111648
 22 0.96241    118 0.509366   214 0.207951   310 0.124042   406 0.111648
 23 0.962081   119 0.509366   215 0.207952   311 0.116462   407 0.111648
 24 0.961752   120 0.509366   216 0.20791    312 0.116335   408 0.111648
 25 0.83       121 0.388505   217 0.180589   313 0.131366   409 0.109311
 26 0.75       122 0.388505   218 0.18059    314 0.131366   410 0.109311
 27 0.64       123 0.388505   219 0.18059    315 0.131366   411 0.109311
 28 0.7        124 0.388505   220 0.18059    316 0.131366   412 0.109311
 29 0.64       125 0.388505   221 0.18059    317 0.131366   413 0.109311
 30 0.7        126 0.388505   222 0.18059    318 0.131366   414 0.109311
 31 0.83       127 0.388505   223 0.18059    319 0.131366   415 0.109311
 32 0.959475   128 0.388505   224 0.18059    320 0.131366   416 0.109311
 33 0.959149   129 0.388505   225 0.18059    321 0.131366   417 0.109311
 34 0.958824   130 0.388505   226 0.18059    322 0.131366   418 0.109311
