Winding,Cooling System,OPS,Oil,Profit
45,25,30,4,-165.766
35,10,35,1,-283.345
50,25,10,1,-556.615
30,10,25,1,-384.645
35,10,35,4,-139.120
30,15,30,1,-248.126
30,20,30,10,-78.711
30,20,30,7,-91.408
35,25,35,7,-101.129
30,5,30,10,-228.832
30,10,30,7,-103.223
35,15,35,4,-110.722
30,20,30,4,-93.836
35,20,35,7,-73.691
35,15,35,10,-84.681
30,10,30,10,-95.442
30,15,30,7,-71.349
35,25,35,4,-100.408
30,20,30,1,-258.578
30,10,30,4,-115.921
30,25,30,1,-254.276
30,5,30,1,-361.437
30,25,30,7,-81.705
30,5,30,7,-191.800
35,15,35,1,-283.499
30,5,30,4,-205.822
35,10,35,10,-140.525
30,15,30,4,-90.836
35,5,35,7,-195.281
35,5,35,1,-356.737
