Winding,Cooling System,OPS,Oil,Profit
55,5,15,1,-15.172
35,10,35,4,74.129
55,5,5,1,-255.302
50,20,35,1,-181.802
30,5,30,1,-76.653
55,5,10,1,-98.681
30,20,30,10,184.497
35,10,35,1,10.753
30,5,30,10,79.331
30,20,30,7,184.193
35,25,35,7,169.023
50,5,5,1,-578.108
35,15,35,4,126.641
30,10,30,7,139.539
30,20,30,4,202.520
35,5,35,1,3.687
30,10,30,10,173.054
35,20,35,7,176.151
30,10,30,4,143.738
35,15,35,10,-132.138
35,10,35,7,148.685
30,15,30,7,220.189
30,20,30,1,75.598
35,25,35,4,156.309
30,15,30,1,76.867
35,5,35,4,30.238
30,25,30,7,106.526
30,5,30,7,135.292
30,25,30,1,45.162
35,20,35,4,193.951
