CentroProducao;Central;Central_ID;Grupo;Segmento;TipoUso;TipoProducao;Central.Estado;Componente;ReferenciaLabelec;Transformador_ID;Fases;Substituido;Local_Caverna;Transf_Reserva;Descricao;Fabricante;Potencia_kVA;Tensao_Primario_kV;Tensao_Secundario_kV;Tensao_Terciario_kV;Max_Tensao_kV;AnoFabrico;TipoOleo;PesoOleo_Ton;Tipo_ID;Transformador.Estado;ID;Grupo_ID;Componente_ID;NRel;DataEnsaio;TempComponente;TempOleo;TempAmb;TempOleoInf;HumRel;Notas;Tipo;Tensao_kV;Tg_Delta_Per;Capacidade_pF;Observacoes;RI_Tensao_V;RI_R1_Mohm;RI_R10_Mohm;RI_IP_R10_R1;RI_Observacoes;RT_Tomada;RT_Nominal;RT_Tensao;RT_FaseR;RT_FaseS;RT_FaseT;RT_FaseR_Desvio;RT_FaseS_Desvio;RT_FaseT_Desvio;RT_FaseR_Angulo;RT_FaseS_Angulo;RT_FaseT_Angulo;RT_Notas;RT_Observacoes;RE_Tomada;RE_FaseR_ohm;RE_FaseR_Desvio;RE_FaseS_ohm;RE_FaseS_Desvio;RE_FaseT_ohm;RE_FaseT_Desvio;RE_Observacoes;IE_Tomada;IE_Tensao_kV;IE_FaseR_I_mA;IE_FaseR_P_W;IE_FaseS_I_mA;IE_FaseS_P_W;IE_FaseT_I_mA;IE_FaseT_P_W;IE_Observacoes;RD_Reactancia_Perc_Fab;RD_Tomada;RD_FaseR_Resistencia_ohm;RD_FaseR_Reactancia_ohm;RD_FaseR_Reactancia_Perc;RD_FaseR_Reactancia_Desvio;RD_FaseR_Impedancia_ohm;RD_FaseR_Impedancia_Perc;RD_FaseS_Resistencia_ohm;RD_FaseS_Reactancia_ohm;RD_FaseS_Reactancia_Perc;RD_FaseS_Reactancia_Desvio;RD_FaseS_Impedancia_ohm;RD_FaseS_Impedancia_Perc;RD_FaseT_Resistencia_ohm;RD_FaseT_Reactancia_ohm;RD_FaseT_Reactancia_Perc;RD_FaseT_Reactancia_Desvio;RD_FaseT_Impedancia_ohm;RD_FaseT_Impedancia_Perc;RD_Observacoes;SFRA_Tipo;SFRA_Azul;SFRA_Vermelho;SFRA_Verde;SFRA_Grafico;SFRA_Banda1_Icorr;SFRA_Banda2_Icorr;SFRA_Banda3_Icorr;SFRA_Banda4_Icorr;SFRA_Banda5_Icorr;SFRA_Observacoes;RID_Tipo;RID_Transicao;RID_FaseR;RID_FaseS;RID_FaseT;RID_Observacoes;DateModified;File
Sines;Sines;89;2;Gold;;PRO;Em Exploração;Enrolamentos (AT);19421 C;11;Trifásico;FALSE;FALSE;FALSE;2TS;EFACEC;50000;18;6.5;6.5;18;01-01-1985;NYNAS NYTRO TAURUS;22.5;Auxiliar;Operacional;1;3;447;;11-02-2010;17;20;16;13.4;0.58;Ensaios de rotina. Medições de R.I. com guarda;;2;0.31;5928;Ensaios de rotina. Medições de R.I. com guarda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14-07-2017 12:19;__0059_10_AT_TRP_EDPP_PTSN TAII_19421C.xlsx
Sines;Sines;89;2;Gold;;PRO;Em Exploração;Enrolamentos (AT);19421 C;11;Trifásico;FALSE;FALSE;FALSE;2TS;EFACEC;50000;18;6.5;6.5;18;01-01-1985;NYNAS NYTRO TAURUS;22.5;Auxiliar;Operacional;2;3;447;;11-02-2010;17;20;16;13.4;0.58;Ensaios de rotina. Medições de R.I. com guarda;;4;0.31;5927;Ensaios de rotina. Medições de R.I. com guarda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14-07-2017 12:19;__0059_10_AT_TRP_EDPP_PTSN TAII_19421C.xlsx
Sines;Sines;89;2;Gold;;PRO;Em Exploração;Enrolamentos (AT);19421 C;11;Trifásico;FALSE;FALSE;FALSE;2TS;EFACEC;50000;18;6.5;6.5;18;01-01-1985;NYNAS NYTRO TAURUS;22.5;Auxiliar;Operacional;3;3;447;;11-02-2010;17;20;16;13.4;0.58;Ensaios de rotina. Medições de R.I. com guarda;;6;0.32;5927;Ensaios de rotina. Medições de R.I. com guarda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14-07-2017 12:19;__0059_10_AT_TRP_EDPP_PTSN TAII_19421C.xlsx
Sines;Sines;89;2;Gold;;PRO;Em Exploração;Enrolamentos (AT);19421 C;11;Trifásico;FALSE;FALSE;FALSE;2TS;EFACEC;50000;18;6.5;6.5;18;01-01-1985;NYNAS NYTRO TAURUS;22.5;Auxiliar;Operacional;4;3;447;;11-02-2010;17;20;16;13.4;0.58;Ensaios de rotina. Medições de R.I. com guarda;;10;0.32;5926;Ensaios de rotina. Medições de R.I. com guarda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14-07-2017 12:19;__0059_10_AT_TRP_EDPP_PTSN TAII_19421C.xlsx
Sines;Sines;89;2;Gold;;PRO;Em Exploração;Enrolamentos (AT/BT1);19421 C;11;Trifásico;FALSE;FALSE;FALSE;2TS;EFACEC;50000;18;6.5;6.5;18;01-01-1985;NYNAS NYTRO TAURUS;22.5;Auxiliar;Operacional;5;3;448;;11-02-2010;17;20;16;13.4;0.58;Ensaios de rotina. Medições de R.I. com guarda;;2;0.24;8424;Ensaios de rotina. Medições de R.I. com guarda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14-07-2017 12:19;__0059_10_AT_TRP_EDPP_PTSN TAII_19421C.xlsx
Sines;Sines;89;2;Gold;;PRO;Em Exploração;Enrolamentos (AT/BT1);19421 C;11;Trifásico;FALSE;FALSE;FALSE;2TS;EFACEC;50000;18;6.5;6.5;18;01-01-1985;NYNAS NYTRO TAURUS;22.5;Auxiliar;Operacional;6;3;448;;11-02-2010;17;20;16;13.4;0.58;Ensaios de rotina. Medições de R.I. com guarda;;4;0.23;8423;Ensaios de rotina. Medições de R.I. com guarda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14-07-2017 12:19;__0059_10_AT_TRP_EDPP_PTSN TAII_19421C.xlsx
Sines;Sines;89;2;Gold;;PRO;Em Exploração;Enrolamentos (AT/BT1);19421 C;11;Trifásico;FALSE;FALSE;FALSE;2TS;EFACEC;50000;18;6.5;6.5;18;01-01-1985;NYNAS NYTRO TAURUS;22.5;Auxiliar;Operacional;7;3;448;;11-02-2010;17;20;16;13.4;0.58;Ensaios de rotina. Medições de R.I. com guarda;;6;0.22;8423;Ensaios de rotina. Medições de R.I. com guarda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14-07-2017 12:19;__0059_10_AT_TRP_EDPP_PTSN TAII_19421C.xlsx
Sines;Sines;89;2;Gold;;PRO;Em Exploração;Enrolamentos (AT/BT1);19421 C;11;Trifásico;FALSE;FALSE;FALSE;2TS;EFACEC;50000;18;6.5;6.5;18;01-01-1985;NYNAS NYTRO TAURUS;22.5;Auxiliar;Operacional;8;3;448;;11-02-2010;17;20;16;13.4;0.58;Ensaios de rotina. Medições de R.I. com guarda;;10;0.22;8421;Ensaios de rotina. Medições de R.I. com guarda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14-07-2017 12:19;__0059_10_AT_TRP_EDPP_PTSN TAII_19421C.xlsx
Sines;Sines;89;2;Gold;;PRO;Em Exploração;Enrolamentos (BT1);19421 C;11;Trifásico;FALSE;FALSE;FALSE;2TS;EFACEC;50000;18;6.5;6.5;18;01-01-1985;NYNAS NYTRO TAURUS;22.5;Auxiliar;Operacional;9;3;449;;11-02-2010;17;20;16;13.4;0.58;Ensaios de rotina. Medições de R.I. com guarda;;2;0.45;6250;Ensaios de rotina. Medições de R.I. com guarda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14-07-2017 12:19;__0059_10_AT_TRP_EDPP_PTSN TAII_19421C.xlsx
Sines;Sines;89;2;Gold;;PRO;Em Exploração;Enrolamentos (BT1);19421 C;11;Trifásico;FALSE;FALSE;FALSE;2TS;EFACEC;50000;18;6.5;6.5;18;01-01-1985;NYNAS NYTRO TAURUS;22.5;Auxiliar;Operacional;10;3;449;;11-02-2010;17;20;16;13.4;0.58;Ensaios de rotina. Medições de R.I. com guarda;;4;0.45;6250;Ensaios de rotina. Medições de R.I. com guarda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14-07-2017 12:19;__0059_10_AT_TRP_EDPP_PTSN TAII_19421C.xlsx
