SAPID,Instalacao,Transformador,N_Serie_LABELEC,Data Colheita,2FAL,Diagnostico_furanicos,H2,CH4,C2H2,C2H4,C2H6,CO,CO2,O2,N2,Diagnostico_AC,COR,Massa_Volumica,Tensao_Interfacial,Tensao_Disruptiva,Indice_Acidez,Teor_Agua,Tangente_Delta_90,Diagnostico_FQ,Recomendacoes
225564364,SE ALPALHAO,TR 1,F002503.01,2018-05-02,0.05,Papel normal,7.0,1.0,1.0,1.0,1.0,21.0,1.0,9.6,24.0,Estado normal,0.5,0.8658,38.0,71.0,0.02,2.0,0.005,Conforme.,Nova colheita com periodicidade pré-estabelecida
225564364,SE ALPALHAO,TR 1,F002503.01,2019-08-13,0.05,Papel normal,11.0,6.0,1.0,3.0,9.0,105.0,1.0,6.1,28.6,Estado normal,0.5,0.8658,36.0,90.0,0.02,7.0,0.007,Conforme.,Nova colheita com periodicidade pré-estabelecida
225564364,SE ALPALHAO,TR 1,F002503.01,2020-10-22,0.05,Papel normal,21.5,12.1,2.2,1.2,24.0,118.0,1.0,5.4,34.9,Estado normal,0.5,0.8658,36.0,90.0,0.02,3.0,0.005,Conforme.,Nova colheita com periodicidade pré-estabelecida
230268356,SE BOAVISTA (LISBOA),TR 2,C 1100 A,2019-11-08,0.05,Papel normal,6.0,5.0,1.0,8.0,2.0,358.0,1.0,7.8,34.4,Estado normal,0.5,0.8664,35.0,79.0,0.02,7.0,0.005,Conforme.,Nova colheita com periodicidade pré-estabelecida
280181363,SE VISTA ALEGRE,TR 1,19259 C,1997-02-28,0.08,,6.0,3.0,67.0,23.0,3.0,34.0,1.1,26.9,59.9,,2.5,0.858,24.4,65.0,0.02,8.9,0.015,,
280181363,SE VISTA ALEGRE,TR 1,19259 C,2001-10-09,0.05,,3.2,1.6,1.0,1.0,1.0,151.0,1.54,18.0,55.0,,0.5,0.881,41.6,84.6,0.007,7.4,0.003,,
280181363,SE VISTA ALEGRE,TR 1,19259 C,2002-09-26,0.05,,8.4,3.9,2.3,1.0,1.0,483.1,3.87,13.4,45.9,,0.5,0.879,37.1,44.9,0.002,8.9,0.004,,
280181363,SE VISTA ALEGRE,TR 1,19259 C,2003-07-10,0.05,,17.5,6.3,2.7,1.0,1.0,602.1,3.62,11.9,51.6,,0.5,0.884,41.9,47.5,0.005,8.0,0.006,,
280181363,SE VISTA ALEGRE,TR 1,19259 C,2004-01-20,0.05,,15.6,5.3,2.1,1.0,1.0,606.1,4.3,9.6,44.4,,0.5,0.883,37.1,57.3,0.016,9.1,0.004,,
280181363,SE VISTA ALEGRE,TR 1,19259 C,2005-08-11,0.05,,13.4,9.5,1.7,1.0,1.1,626.0,4.54,13.5,55.8,,0.5,0.8847,40.4,71.9,0.019,11.3,0.006,,
280181363,SE VISTA ALEGRE,TR 1,19259 C,2008-12-29,0.05,,23.5,13.4,8.4,10.1,3.0,844.0,10.5,17.1,71.6,,0.5,0.8837,35.3,68.0,0.012,8.6,0.002,,
280181363,SE VISTA ALEGRE,TR 1,19259 C,2010-01-08,0.07,,16.6,11.4,6.9,8.4,2.5,781.6,9.44,18.7,74.2,,0.5,0.8836,31.9,76.6,0.01,9.3,0.002,,
280181363,SE VISTA ALEGRE,TR 1,19259 C,2011-01-14,0.05,,14.2,12.2,6.9,9.4,2.9,801.0,9.5,18.9,70.6,,0.5,0.8802,38.8,81.1,0.016,15.2,0.002,,
280181363,SE VISTA ALEGRE,TR 1,19259 C,2012-01-26,0.06,,14.2,13.4,7.6,13.8,4.2,892.8,9.03,17.4,71.0,,0.5,0.8803,39.8,78.6,0.009,10.4,0.003,,
280181363,SE VISTA ALEGRE,TR 1,19259 C,2013-02-15,0.05,,13.9,14.4,7.0,15.5,5.0,934.4,9.4,13.1,61.8,,0.5,0.8803,41.7,48.4,0.007,9.0,0.003,,
280181363,SE VISTA ALEGRE,TR 1,19259 C,2014-04-24,0.06,,13.0,8.2,6.6,19.2,5.0,1052.8,9.44,14.0,66.7,,0.5,0.8802,39.1,63.9,0.005,11.4,0.002,,
280181363,SE VISTA ALEGRE,TR 1,19259 C,2016-01-22,0.05,Papel normal,12.0,14.0,1.0,10.0,4.0,984.0,7.84,15.0,64.1,Estado normal,0.5,0.8802,41.0,73.0,0.02,12.0,0.005,Conforme.,Nova colheita com periodicidade pré-estabelecida
280181363,SE VISTA ALEGRE,TR 1,19259 C,2017-01-10,0.06,Papel normal,18.0,16.0,1.0,8.0,4.0,1300.0,9.22,15.7,72.2,Estado normal,0.5,0.8802,40.0,74.0,0.02,9.0,0.005,Conforme.,Nova colheita com periodicidade pré-estabelecida
280181363,SE VISTA ALEGRE,TR 1,19259 C,2018-02-02,0.08,Papel normal,15.0,15.0,1.0,1.0,4.0,1220.0,7.73,16.0,69.0,Estado normal,0.5,0.8621,40.0,92.0,0.02,2.0,0.005,Conforme.,Nova colheita com periodicidade pré-estabelecida
280181363,SE VISTA ALEGRE,TR 1,19259 C,2019-05-15,0.05,Papel normal,12.0,20.0,1.0,6.0,4.0,1010.0,9.09,13.0,58.4,Estado normal,0.5,0.8802,44.0,52.0,0.02,10.0,0.005,Conforme.,Nova colheita com periodicidade pré-estabelecida
280181363,SE VISTA ALEGRE,TR 1,19259 C,2020-04-01,0.05,Papel normal,11.0,15.0,3.0,13.0,4.0,1040.0,7.91,15.1,65.5,Estado normal,0.5,0.8802,44.0,49.0,0.02,6.0,0.005,Conforme.,Nova colheita com periodicidade pré-estabelecida
