SAP ID,ID do Transformador,SAP ID.1,ID da subestação,Nome da Subestação 31/12/2018 [Local de Origem],Ano fabrico,"Data de entrada em exploração 
[mm-aaaa]","Data da última alteração 
[aaaa]",Nº TP na Instalação,Nº Série,Situação,Data Movimentação,Motivo,Observações,Data Atualização,ID do Local Instalação,Nome Local Instalação,Nº TP na Instalação.1,Def. Projecto (só TP novos),Observações.1,Unnamed: 20,Unnamed: 21,Unnamed: 22,Motivo Rotação
280190588,760860,280190588,1511S5021000,SANTANA,1980.0,12-1982,,2.0,19309 C,Em exploração,,,,,,,,,,,,,por Avaria
280190589,760867,280190589,1511S5021000,SANTANA,1972.0,12-1982,,1.0,13016,Em exploração,,,,,,,,,,,,,Instalação desativada
280190590,760874,280190590,1503S5021100,PORTAGEM,1978.0,12-1979,,1.0,LEL 12867,Em exploração,,,,,,,,,,,,,Adequar Potência da instalação
280190591,760889,280190591,1503S5021100,PORTAGEM,1978.0,12-1980,2016.0,2.0,LEL 12865,Em exploração,,,,,,,,,,,,,
280190592,760896,280190592,1503S5021700,LARANJEIRO,1978.0,12-1982,,1.0,LEL 12868,Em exploração,,,,,,,,,,,,,
280190593,760903,280190593,1503S5021700,LARANJEIRO,1978.0,12-1982,,2.0,LEL 12866,Em exploração,,,,,,,,,,,,,
280190594,760910,280190594,1510S5022300,SEIXAL,1984.0,12-1984,,2.0,19454 C,Em exploração,,,,,,,,,,,,,
280190595,760917,280190595,1510S5022300,SEIXAL,1984.0,12-1984,,1.0,19453 C,Em exploração,,,,,,,,,,,,,
280190598,760952,280190598,1503S5020400,SOBREDA,1979.0,12-1980,,3.0,19285 C,Em exploração,,,,,,,,,,,,,
280190599,760959,280190599,1503S5020400,SOBREDA,1980.0,12-1984,,1.0,19300 C,Em exploração,,,,,,,,,,,,,
280190600,760966,280190600,1503S5020400,SOBREDA,1982.0,12-1984,,2.0,LEL 19884,Em exploração,,,,,,,,,,,,,
280190601,760973,280190601,1504S5020200,COINA,1984.0,12-1985,,3.0,19459 C,Em exploração,,,,,,,,,,,,,
280898222,760987,280898222,1504S5020200,COINA,2016.0,10-2016,,2.0,C 1000 A,Em exploração,,,,,,,,,,,,,
280190604,760994,280190604,1504S5020300,BARREIRO,1988.0,12-1983,,1.0,LEL 30831,Em exploração,,,,,,,,,,,,,
280190606,761008,280190606,1504S5022700,QUIMIPARQUE,1975.0,12-1976,,1.0,LEL 9637,Em exploração,,,,,,,,,,,,,
280190607,761022,280190607,1511S5020600,QUINTA DO CONDE,2003.0,12-2003,,1.0,C 0035 A,Em exploração,,,,,,,,,,,,,
