1	2	3	4	5	6	7	8  
 1 0.152895     601 0.092515    1201 0.110944    1801 0.1177
   2 0.152729     602 0.0924146   1202 0.110824    1802 0.117572
   3 0.152564     603 0.0923144   1203 0.110704    1803 0.117445
   4 0.152399     604 0.0922142   1204 0.110584    1804 0.117317
   5 0.152235     605 0.0921142   1205 0.110464    1805 0.11719
   6 0.15207      606 0.0920142   1206 0.110344    1806 0.117063
   7 0.151906     607 0.0919144   1207 0.110224    1807 0.116936
   8 0.151742     608 0.0918147   1208 0.110104    1808 0.116809
   9 0.151578     609 0.0917151   1209 0.109985    1809 0.116682
  10 0.151414     610 0.0916156   1210 0.109866    1810 0.116556
  11 0.15125      611 0.0915162   1211 0.109746    1811 0.116429
  12 0.151087     612 0.0914169   1212 0.109627    1812 0.116303
  13 0.150923     613 0.0913177   1213 0.109508    1813 0.116177
  14 0.15076      614 0.0912186   1214 0.10939     1814 0.116051
  15 0.150597     615 0.0911196   1215 0.109271    1815 0.115925
  16 0.150435     616 0.0910208   1216 0.109152    1816 0.115799
  17 0.150272     617 0.090922    1217 0.109034    1817 0.115673
  18 0.15011      618 0.0908234   1218 0.108916    1818 0.115548
  19 0.149947     619 0.0907249   1219 0.108797    1819 0.115423
  20 0.149785     620 0.0906264   1220 0.108679    1820 0.115297
  21 0.149624     621 0.0905281   1221 0.108562    1821 0.115172
  22 0.149462     622 0.0904299   1222 0.108444    1822 0.115047
  23 0.1493       623 0.0903318   1223 0.108326    1823 0.114922
  24 0.149138     624 0.0902338   1224 0.108209    1824 0.114798
  25 0.148976     625 0.0901359   1225 0.108091    1825 0.114673
  26 0.148814     626 0.0900381   1226 0.107974    1826 0.114549
  27 0.148653     627 0.0899404   1227 0.107857    1827 0.114425
  28 0.148492     628 0.0898428   1228 0.10774     1828 0.1143
  29 0.14833      629 0.0897453   1229 0.107623    1829 0.114176
  30 0.14817      630 0.089648    1230 0.107506    1830 0.114053
  31 0.148009     631 0.0895507   1231 0.107389    1831 0.113929
  32 0.147848     632 0.0894535   1232 0.107273    1832 0.113805
  33 0.147688     633 0.0893565   1233 0.107157    1833 0.113682
  34 0.147528     634 0.0892595   1234 0.10704     1834 0.113558
  35 0.147368     635 0.0891627   1235 0.106924    1835 0.113435
  36 0.147208     636 0.089066    1236 0.106808    1836 0.113312
  37 0.147048     637 0.0889693   1237 0.106692    1837 0.113189
  38 0.146888     638 0.0888728   1238 0.106577    1838 0.113066
  39 0.146729     639 0.0887764   1239 0.106461    1839 0.112944
  40 0.14657      640 0.0886801   1240 0.106345    1840 0.112821
  41 0.146411     641 0.0885839   1241 0.10623     1841 0.112699
  42 0.146252     642 0.0884878   1242 0.106115    1842 0.112576
  43 0.146093     643 0.0883917   1243 0.106       1843 0.112454
  44 0.145935     644 0.0882958   1244 0.105885    1844 0.112332
  45 0.145776     645 0.0882001   1245 0.10577     1845 0.11221
  46 0.145618     646 0.0881044   1246 0.105655    1846 0.112089
  47 0.14546      647 0.0880088   1247 0.10554     1847 0.111967
  48 0.145302     648 0.0879133   1248 0.105426    1848 0.111846
  49 0.145145     649 0.0878179   1249 0.105311    1849 0.111724
  50 0.144987     650 0.0877226   1250 0.105197    1850 0.111603
  51 0.14483      651 0.0876275   1251 0.105083    1851 0.111482
  52 0.144673     652 0.0875324   1252 0.104969    1852 0.111361
  53 0.144516     653 0.0874374   1253 0.104855    1853 0.11124
  54 0.144359     654 0.0873426   1254 0.104741    1854 0.11112
  55 0.144203     655 0.0872478   1255 0.104628    1855 0.110999
  56 0.144046     656 0.0871531   1256 0.104514    1856 0.110879
  57 0.14389      657 0.0870586   1257 0.104401    1857 0.110758
  58 0.143734     658 0.0869641   1258 0.104288    1858 0.110638
  59 0.143578     659 0.0868698   1259 0.104174    1859 0.110518
  60 0.143422     660 0.0867755   1260 0.104061    1860 0.110398
  61 0.143266     661 0.0866814   1261 0.103949    1861 0.110278
  62 0.143111     662 0.0865873   1262 0.103836    1862 0.110159
  63 0.142956     663 0.0864934   1263 0.103723    1863 0.110039
  64 0.142801     664 0.0863995   1264 0.103611    1864 0.10992
  65 0.142646     665 0.0863058   1265 0.103498    1865 0.109801
  66 0.142491     666 0.0862122   1266 0.103386    1866 0.109681
  67 0.142336     667 0.0861186   1267 0.103274    1867 0.109562
  68 0.142182     668 0.0860252   1268 0.103162    1868 0.109444
