ReferenciaLabelec,Transformador_ID,Grupo ID,Local,AnoFabrico,DataColheita,Tipo_ref,Idade,TemperaturaOleo,CO2,O2,CO,X2ACF,X2FOL,X5HMF,X5MEF,quantas_trocas_oleo,OVER_horas,Q1_horas,Q2_horas,Q3_horas,Q4_horas,cond_oleo,TIPO TP,cond(percentagem),fal
12839 1,1,3,Sines,1983-01-01 00:00:00,1998-04-16 00:00:00,ONAN (Oil Natural Air Natural),15,22,2300,25,412,0.05,0.05,0.05,0.05,0,,,,,,5.4121620052875805,B,0.3280098185022776,0.05
12839 1,1,3,Sines,1983-01-01 00:00:00,1999-05-28 00:00:00,ONAN (Oil Natural Air Natural),16,26,2280,23,419,0.05,0.05,0.05,0.05,0,,,,,,4.682919030610989,B,0.2838132745824842,0.05
12839 1,1,3,Sines,1983-01-01 00:00:00,2001-07-06 00:00:00,ONAN (Oil Natural Air Natural),18,26,2380,24.9,402.00000000000006,0.05,0.05,0.05,0.05,0,,,,,,5.611886498098982,B,0.3401143332181201,0.05
12839 1,1,3,Sines,1983-01-01 00:00:00,2003-08-19 00:00:00,ONAN (Oil Natural Air Natural),20,29,2070,23.3,436.4,0.05,0.05,0.05,0.05,0,,,,,,5.69141520105794,B,0.34493425460957206,0.05
12839 1,1,3,Sines,1983-01-01 00:00:00,2004-09-07 00:00:00,ONAN (Oil Natural Air Natural),21,25,2920,23.4,474.3999999999999,0.05,0.05,0.05,0.05,0,,,,,,5.886549029032583,B,0.3567605472140959,0.05
12839 1,1,3,Sines,1983-01-01 00:00:00,2005-09-05 00:00:00,ONAN (Oil Natural Air Natural),22,23,2740,26.4,430.3,0.05,0.05,0.05,0.05,0,,,,,,5.744026252800344,B,0.34812280320002087,0.05
12839 1,1,3,Sines,1983-01-01 00:00:00,2006-08-23 00:00:00,ONAN (Oil Natural Air Natural),23,27,2980,26.8,389.6,0.05,0.05,0.05,0.05,0,,,,,,5.857213263278091,B,0.35498262201685393,0.05
12839 1,1,3,Sines,1983-01-01 00:00:00,2007-12-14 00:00:00,ONAN (Oil Natural Air Natural),24,18,2780,25.7,457.5,0.05,0.05,0.05,0.05,0,,,,,,5.688518551560311,B,0.3447587000945642,0.05
12839 1,1,3,Sines,1983-01-01 00:00:00,2008-07-25 00:00:00,ONAN (Oil Natural Air Natural),25,25,2740,26.3,440.30000000000007,0.05,0.05,0.05,0.05,0,,,,,,5.511078893959612,B,0.33400478145209767,0.05
12839 1,1,3,Sines,1983-01-01 00:00:00,2009-04-07 00:00:00,ONAN (Oil Natural Air Natural),26,19,2440,26,431.99999999999994,0.05,0.05,0.05,0.05,0,,,,,,6.642495037468037,B,0.40257545681624474,0.05
