param,profit
d_prime=0.9900,68.26859
d_prime=0.9910,68.01004
d_prime=0.9920,29.85240
d_prime=0.9930,87.92567
d_prime=0.9940,80.72371
d_prime=0.9950,94.98602
d_prime=0.9960,74.29788
d_prime=0.9970,141.18696
d_prime=0.9980,129.06839
d_prime=0.9990,175.97644
d_prime=1.0000,159.17552
load_effect=0.995,175.97932
load_effect=0.996,176.01723
load_effect=0.997,175.55791
load_effect=0.998,175.84059
load_effect=0.999,175.70537
load_effect=1.000,175.97644
load_effect=1.001,175.90321
load_effect=1.002,175.71868
load_effect=1.003,169.54407
load_effect=1.004,175.70111
max_cooling_system_cooling_const=9.995,186.38908
max_cooling_system_cooling_const=9.996,167.74898
max_cooling_system_cooling_const=9.997,175.55039
max_cooling_system_cooling_const=9.998,167.69638
max_cooling_system_cooling_const=9.999,175.97826
max_cooling_system_cooling_const=10.000,175.97644
max_cooling_system_cooling_const=10.001,175.98255
max_cooling_system_cooling_const=10.002,175.85171
max_cooling_system_cooling_const=10.003,175.82455
max_cooling_system_cooling_const=10.004,181.82870
max_cooling_system_cooling_const=10.005,175.82867
max_cooling_oil_const=4.995,175.92458
max_cooling_oil_const=4.996,175.81517
max_cooling_oil_const=4.997,175.54450
max_cooling_oil_const=4.998,175.82339
max_cooling_oil_const=4.999,183.74562
max_cooling_oil_const=5.0,175.97644
max_cooling_oil_const=5.001,175.82705
max_cooling_oil_const=5.002,175.78379
max_cooling_oil_const=5.003,175.86488
max_cooling_oil_const=5.004,187.60768
