Winding,Cooling System,OPS,Oil,Profit
30,5,5,1,-16690
30,5,5,4,-16698
30,5,5,7,-16410
30,5,5,10,-16699
30,5,10,1,-16694
30,5,10,4,-16695
30,5,10,7,-16695
30,5,10,10,-16698
30,5,15,1,-16727
30,5,15,4,-16354
30,5,15,7,-16395
30,5,15,10,-16393
30,5,20,1,-16063
30,5,20,4,-16327
30,5,20,7,-16324
30,5,20,10,-16339
30,5,25,1,-14309
30,5,25,4,-16374
30,5,25,7,-16071
30,5,25,10,-16371
30,5,30,1,-10672
30,5,30,4,-10804
30,5,30,7,-10777
30,5,30,10,-10287
30,5,35,1,-16327
30,5,35,4,-15731
30,5,35,7,-16345
30,5,35,10,-16331
30,10,5,1,-16387
30,10,5,4,-16701
30,10,5,7,-16695
30,10,5,10,-16698
30,10,10,1,-16697
30,10,10,4,-16698
30,10,10,7,-16688
30,10,10,10,-16700
30,10,15,1,-16731
30,10,15,4,-16701
30,10,15,7,-16734
30,10,15,10,-16353
30,10,20,1,-16341
30,10,20,4,-16323
30,10,20,7,-16331
30,10,20,10,-16335
30,10,25,1,-9653
30,10,25,4,-16368
30,10,25,7,-16088
30,10,25,10,-16068
30,10,30,1,-10896
30,10,30,4,-10643
30,10,30,7,-10321
30,10,30,10,-10615
30,10,35,1,-13929
30,10,35,4,-16323
30,10,35,7,-16328
30,10,35,10,-16035
30,15,5,1,-16391
30,15,5,4,-16696
30,15,5,7,-16699
30,15,5,10,-16695
30,15,10,1,-16694
30,15,10,4,-16735
30,15,10,7,-16734
30,15,10,10,-16699
30,15,15,1,-16341
30,15,15,4,-16344
30,15,15,7,-16678
30,15,15,10,-16325
30,15,20,1,-16308
30,15,20,4,-16010
30,15,20,7,-16042
30,15,20,10,-16328
30,15,25,1,-16365
30,15,25,4,-16347
30,15,25,7,-16375
30,15,25,10,-16431
30,15,30,1,-9999
30,15,30,4,-10836
30,15,30,7,-10617
30,15,30,10,-10933
30,15,35,1,-16331
30,15,35,4,-16317
30,15,35,7,-16377
30,15,35,10,-16307
30,20,5,1,-16687
30,20,5,4,-16731
30,20,5,7,-16442
30,20,5,10,-16698
30,20,10,1,-16690
30,20,10,4,-16705
30,20,10,7,-16695
30,20,10,10,-16698
30,20,15,1,-16338
30,20,15,4,-16321
30,20,15,7,-16374
30,20,15,10,-14931
30,20,20,1,-16327
30,20,20,4,-16307
30,20,20,7,-16307
30,20,20,10,-16324
30,20,25,1,-16354
30,20,25,4,-16361
30,20,25,7,-16691
30,20,25,10,-16359
30,20,30,1,-10621
30,20,30,4,-10546
30,20,30,7,-10204
30,20,30,10,-10198
30,20,35,1,-16020
30,20,35,4,-16317
30,20,35,7,-16304
30,20,35,10,-16342
30,25,5,1,-16374
30,25,5,4,-16369
30,25,5,7,-16374
30,25,5,10,-16072
30,25,10,1,-15782
30,25,10,4,-16376
30,25,10,7,-16068
30,25,10,10,-16034
30,25,15,1,-16328
30,25,15,4,-16324
30,25,15,7,-14583
30,25,15,10,-16088
30,25,20,1,-16051
30,25,20,4,-16342
30,25,20,7,-16394
30,25,20,10,-15661
30,25,25,1,-16385
30,25,25,4,-16367
30,25,25,7,-16392
30,25,25,10,-16071
30,25,30,1,-10661
30,25,30,4,-10974
30,25,30,7,-10711
30,25,30,10,-10923
30,25,35,1,-16331
30,25,35,4,-16323
30,25,35,7,-15987
30,25,35,10,-16034
35,5,5,1,-16691
35,5,5,4,-16691
35,5,5,7,-16435
35,5,5,10,-16699
35,5,10,1,-16695
35,5,10,4,-16731
35,5,10,7,-16705
35,5,10,10,-16364
35,5,15,1,-16387
35,5,15,4,-16694
35,5,15,7,-16704
35,5,15,10,-16698
35,5,20,1,-16038
35,5,20,4,-16028
35,5,20,7,-16340
35,5,20,10,-16345
35,5,25,1,-16068
35,5,25,4,-16371
35,5,25,7,-16371
35,5,25,10,-16367
35,5,30,1,-15268
35,5,30,4,-16327
35,5,30,7,-16323
35,5,30,10,-16335
35,5,35,1,-10882
35,5,35,4,-10963
35,5,35,7,-10873
35,5,35,10,-10900
35,10,5,1,-16702
35,10,5,4,-16698
35,10,5,7,-16734
35,10,5,10,-16692
35,10,10,1,-16694
35,10,10,4,-16705
35,10,10,7,-16701
35,10,10,10,-16694
35,10,15,1,-16697
35,10,15,4,-16698
35,10,15,7,-16705
35,10,15,10,-16738
35,10,20,1,-16031
35,10,20,4,-16324
35,10,20,7,-16331
35,10,20,10,-16332
35,10,25,1,-16385
35,10,25,4,-16368
35,10,25,7,-16372
35,10,25,10,-16371
35,10,30,1,-16328
35,10,30,4,-14939
35,10,30,7,-16337
35,10,30,10,-16005
35,10,35,1,-8801
35,10,35,4,-9919
35,10,35,7,-10907
35,10,35,10,-10835
35,15,5,1,-16695
35,15,5,4,-16695
35,15,5,7,-16701
35,15,5,10,-16691
35,15,10,1,-16395
35,15,10,4,-16698
35,15,10,7,-16705
35,15,10,10,-16698
35,15,15,1,-16381
35,15,15,4,-16667
35,15,15,7,-16375
35,15,15,10,-16348
35,15,20,1,-16334
35,15,20,4,-16324
35,15,20,7,-16308
35,15,20,10,-15685
35,15,25,1,-16011
35,15,25,4,-16351
35,15,25,7,-16361
35,15,25,10,-16054
35,15,30,1,-16308
35,15,30,4,-16021
35,15,30,7,-16007
35,15,30,10,-16022
35,15,35,1,-10778
35,15,35,4,-10424
35,15,35,7,-11051
35,15,35,10,-10590
35,20,5,1,-16694
35,20,5,4,-16396
35,20,5,7,-16738
35,20,5,10,-16699
35,20,10,1,-16734
35,20,10,4,-16703
35,20,10,7,-16399
35,20,10,10,-16742
35,20,15,1,-16375
35,20,15,4,-16378
35,20,15,7,-16341
35,20,15,10,-16349
35,20,20,1,-11682
35,20,20,4,-16314
35,20,20,7,-16331
35,20,20,10,-16315
35,20,25,1,-16681
35,20,25,4,-16347
35,20,25,7,-16376
35,20,25,10,-16358
35,20,30,1,-16334
35,20,30,4,-16011
35,20,30,7,-16318
35,20,30,10,-16314
35,20,35,1,-11172
35,20,35,4,-10887
35,20,35,7,-10570
35,20,35,10,-10900
35,25,5,1,-16702
35,25,5,4,-16698
35,25,5,7,-16081
35,25,5,10,-16072
35,25,10,1,-16374
35,25,10,4,-16068
35,25,10,7,-16691
35,25,10,10,-16695
35,25,15,1,-13897
35,25,15,4,-14522
35,25,15,7,-16327
35,25,15,10,-16034
35,25,20,1,-16328
35,25,20,4,-16324
35,25,20,7,-16041
35,25,20,10,-16332
35,25,25,1,-16378
35,25,25,4,-16074
35,25,25,7,-16368
35,25,25,10,-16372
35,25,30,1,-16328
35,25,30,4,-16327
35,25,30,7,-16373
35,25,30,10,-16334
35,25,35,1,-11000
35,25,35,4,-10617
35,25,35,7,-10238
35,25,35,10,-10937
40,5,5,1,-16694
40,5,5,4,-16695
40,5,5,7,-16414
40,5,5,10,-16439
40,5,10,1,-16391
40,5,10,4,-16705
40,5,10,7,-16398
40,5,10,10,-16698
40,5,15,1,-13390
40,5,15,4,-16698
40,5,15,7,-16732
40,5,15,10,-13366
40,5,20,1,-16031
40,5,20,4,-16327
40,5,20,7,-16331
40,5,20,10,-16336
40,5,25,1,-16368
40,5,25,4,-16381
40,5,25,7,-16068
40,5,25,10,-16391
40,5,30,1,-16338
40,5,30,4,-16323
40,5,30,7,-16033
40,5,30,10,-16354
40,5,35,1,-16328
40,5,35,4,-16030
40,5,35,7,-13292
40,5,35,10,-16062
40,10,5,1,-16690
40,10,5,4,-16701
40,10,5,7,-16698
40,10,5,10,-16706
40,10,10,1,-16401
40,10,10,4,-16401
40,10,10,7,-16705
40,10,10,10,-16708
40,10,15,1,-13377
40,10,15,4,-13399
40,10,15,7,-13338
40,10,15,10,-16691
40,10,20,1,-13586
40,10,20,4,-16330
40,10,20,7,-16331
40,10,20,10,-12975
40,10,25,1,-16081
40,10,25,4,-16041
40,10,25,7,-16397
40,10,25,10,-16392
40,10,30,1,-16328
40,10,30,4,-16348
40,10,30,7,-16327
40,10,30,10,-16679
40,10,35,1,-16327
40,10,35,4,-16334
40,10,35,7,-16027
40,10,35,10,-16031
40,15,5,1,-13444
40,15,5,4,-13391
40,15,5,7,-16695
40,15,5,10,-16711
40,15,10,1,-16355
40,15,10,4,-13378
40,15,10,7,-16698
40,15,10,10,-13661
40,15,15,1,-16371
40,15,15,4,-16705
40,15,15,7,-16335
40,15,15,10,-16345
40,15,20,1,-16018
40,15,20,4,-16024
40,15,20,7,-16303
40,15,20,10,-15974
40,15,25,1,-16348
40,15,25,4,-12595
40,15,25,7,-16042
40,15,25,10,-16354
40,15,30,1,-13341
40,15,30,4,-16011
40,15,30,7,-16338
40,15,30,10,-16325
40,15,35,1,-13328
40,15,35,4,-16315
40,15,35,7,-13794
40,15,35,10,-16314
40,20,5,1,-13413
40,20,5,4,-16734
40,20,5,7,-16400
40,20,5,10,-13423
40,20,10,1,-13357
40,20,10,4,-16378
40,20,10,7,-16708
40,20,10,10,-16705
40,20,15,1,-16334
40,20,15,4,-16377
40,20,15,7,-16378
40,20,15,10,-16371
40,20,20,1,-16308
40,20,20,4,-16314
40,20,20,7,-13251
40,20,20,10,-16332
40,20,25,1,-15988
40,20,25,4,-16068
40,20,25,7,-16351
40,20,25,10,-16351
40,20,30,1,-16321
40,20,30,4,-16307
40,20,30,7,-16343
40,20,30,10,-16321
40,20,35,1,-16315
40,20,35,4,-16059
40,20,35,7,-16311
40,20,35,10,-16307
40,25,5,1,-13894
40,25,5,4,-14157
40,25,5,7,-16381
40,25,5,10,-16386
40,25,10,1,-16434
40,25,10,4,-13346
40,25,10,7,-16398
40,25,10,10,-16705
40,25,15,1,-16341
40,25,15,4,-16734
40,25,15,7,-16324
40,25,15,10,-16405
40,25,20,1,-16357
40,25,20,4,-16323
40,25,20,7,-16004
40,25,20,10,-16342
40,25,25,1,-16371
40,25,25,4,-16372
40,25,25,7,-16367
40,25,25,10,-16378
40,25,30,1,-16337
40,25,30,4,-16327
40,25,30,7,-16328
40,25,30,10,-16687
40,25,35,1,-14916
40,25,35,4,-13569
40,25,35,7,-16695
40,25,35,10,-15691
45,5,5,1,-15082
45,5,5,4,-15012
45,5,5,7,-14993
45,5,5,10,-14988
45,5,10,1,-15008
45,5,10,4,-14996
45,5,10,7,-14997
45,5,10,10,-14993
45,5,15,1,-15044
45,5,15,4,-14945
45,5,15,7,-15031
45,5,15,10,-14943
45,5,20,1,-16698
45,5,20,4,-14563
45,5,20,7,-14630
45,5,20,10,-14933
45,5,25,1,-14995
45,5,25,4,-13196
45,5,25,7,-14981
45,5,25,10,-14970
45,5,30,1,-15013
45,5,30,4,-14949
45,5,30,7,-14925
45,5,30,10,-14624
45,5,35,1,-15006
